Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-20,-1.57827,50.877638,,0.04,2017-12-20,5,5,5,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,owned by a public authority,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_146305,not permissioned,"Former Magistratesí Court, Pikes Hill, Lyndhurst, SO43 7AY",BFS1,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.578666,50.877882,,0.02,2017-12-20,2,2,2,,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,owned by a public authority,,,,not permissioned,"Garage Site, Foldsgate Close, Lyndhurst SO43 7BY",BFS2,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.57353,50.81754,,0.4,2017-12-20,10,10,10,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164099,not permissioned,"Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW",BFS3,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.575547,50.814319,,0.35,2017-12-20,10,10,10,,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,,,,,not permissioned,"Land at Railway Station, Brockenhurst, SO42 7TW",BFS4,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.522698,50.892675,,0.05,2017-12-20,2,2,2,,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_147549,not permissioned,"Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS",BFS5,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.579084,50.875707,,0.35,2017-12-20,18,18,18,,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,,,https://idoxweb.newforestnpa.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,"Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP",BFS6,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.572011,50.87204,,1.61,2017-12-20,50,50,50,,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,,,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_169288,not permissioned,"Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL",BFS7,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.581436,50.82238,,0.15,2017-12-20,1,1,1,"Demolition of existing, new access",New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2005-08-15,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_136272,permissioned,"Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR",BFS8,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.578147,50.818753,,0.5,2017-12-20,26,26,26,3 villas to create 24 age restricted apartments,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2017-04-26,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_166597,permissioned,"Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP",BFS9,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.575217,50.872708,,0.03,2017-12-20,6,6,6,Change of use of office building to 6 apartments,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2016-08-15,other,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_167039,permissioned,"First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE",BFS10,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.576599,50.872263,,0.02,2017-12-20,1,1,1,Change of use of office building to dwelling,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2014-05-21,other,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_162122,permissioned,"The Old Barn, Church Lane, Lyndhurst, SO43 7EW",BFS11,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.575727,50.872826,,0.02,2017-12-20,1,1,1,New dwelling; associated landscaping,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2016-06-21,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NFNP_DCAPR_166551,permissioned,"Land To The Rear Of 35 High Street, Lyndhurst, SO43 7BE",BFS12,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.576711,50.874053,,0.19,2017-12-20,1,1,1,Conversion of Bed and Breakfast to create 2 dwellings,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2016-09-15,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_165587,permissioned,"Burwood Lodge, 27 Romsey Road, Lyndhurst, SO43 7AA",BFS13,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.585894,50.822441,,0.39,2017-12-20,1,1,1,New dwelling and garage,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2016-06-16,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_167035,permissioned,"Land Of Forest Park Hotel, Forest Park Road, Brockenhurst, SO42 7SW",BFS14,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.577665,50.820235,,0.05,2017-12-20,3,3,3,To construct a terrace of three dwellings,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2016-04-26,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_164528,permissioned,"Former Scout Hut, Brookley Road, Brockenhurst, SO42 7RD",BFS15,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.575505,50.818959,,0.06,2017-12-20,2,2,2,Change of use to dental practice; 2 flats; Internal alterations,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2017-03-21,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_168184,permissioned,"Lloyds Tsb, Sway Road, Brockenhurst, SO42 7ZH",BFS16,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
yes,,2017-12-20,-1.568273,50.873599,,0.14,2017-12-20,2,2,2,Conversion of owners accommodation to create 2 separate units of accommodation,New Forest National Park,http://opendatacommunities.org/id/national-park-authority/new-forest,not owned by a public authority,2017-02-14,full planning permission,https://idoxweb.newforestnpa.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NFNP_DCAPR_165502,permissioned,"Rufus House Hotel, Southampton Road, Lyndhurst, SO43 7BQ",BFS17,http://www.newforestnpa.gov.uk/downloads/file/1642/brownfield_land_register_as_at_dec_2017,,,
