Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,,-1.46404,52.508506,,0.48,2020-03-10,,28,28,"The site comprises of former allotment land adjoining the canal Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031, (NUN015)",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,owned by a public authority,,,,not permissioned,,"Land at Donnithorne Avenue, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2019,BF001
yes,,,-1.498978,52.522449,,0.68,2020-03-10,,67,67,"The site comprises of informal car parking, a residential property and club with some old industrial buildings. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031, (NUN043)",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,not owned by a public authority,,,,not permissioned,,"Stockingford Sports and Social Club and Bungalow, Arbury Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2019,BF002
yes,,,-1.459778,52.522025,,0.45,2020-03-10,,44,44,"The site comprises of light industrial/office/education buildings and associated parking. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031, (NUN047)",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,not owned by a public authority,,,,not permissioned,,"King Edward Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2019,BF003
yes,,,-1.460221,52.521964,,0.28,2020-03-10,,27,27,"This is a clear site with rubble hard-core in situ. The site is adjacent to BF003 Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031, (NUN051)",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,not owned by a public authority,,,,not permissioned,,"Rear of 68 King Edward Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2020,BF004
yes,,,-1.463804,52.485508,,0.22,2020-03-10,,22,22,"The site comprises of a series of lock-ups and garages on an existing estate. The surrounding hard standing has overgrown and is now derelict. This site offers good infill opportunity. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031, (NUN060)",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,owned by a public authority,,,,not permissioned,,"Pine Tree Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2021,BF005
yes,,,-1.510773,52.475606,,0.24,2020-03-10,,14,14,The site is scrub land and an area of informal parking. The site is adjacent to a popular well maintained pub. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN061) Planning permission was granted on 11/04/2017 for 14 dwellings 033762,,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,not owned by a public authority,2017-04-11,full planning permission,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,permissioned,,"Rear of 25-39 Whitburn Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2022,BF006
yes,,,-1.417344,52.476488,,0.31,2020-03-10,,14,44,"Existing public house, garden and carpark. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN065) Planning permission was granted on 13/04/2017 for 14 dwellings Ref: 034236 Planning permission granted 12/03/2019 for 44 dwellings Ref: 035641",,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,not owned by a public authority,2017-04-13,full planning permission,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,permissioned,,"New Inn Public House, Bulkington",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2023,BF007
yes,,,-1.476526,52.47947,,0.18,2020-03-10,,17,17,Vacant land - disused play area Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN075),,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,owned by a public authority,,,,not permissioned,,"Rear of Park Road flats, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2024,BF008
yes,,,-1.464398,52.487561,,2.16,2020-03-10,,66,66,Previously used as garage courts and parking Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN174),,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,owned by a public authority,,,,not permissioned,,"Charity Docks, Land rear of Furnace Road/Beechwood Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2025,BF009
yes,2019-03-31,,-1.469164,52.528325,,2.34,2020-03-10,,95,143,2016/17: Council depot site. The depot has relocated. 2017/18: Full planning permission 035402 for residential development of 95 affordable units granted permission. Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 for 143 dwellings (NUN191) 2018/19 The development is under construction,,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,owned by a public authority,2018-07-06,full planning permission,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,permissioned,,"St Marys Road Council Depot, St Marys Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2026,BF010
