Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,,0.363007,51.875223,,,2020-03-27,,,,,,http://opendatacommunities.org/id/district-council/uttlesford,not owned by a public authority,,,,permissioned,,"North Street, Great Dunmow, CM6 1BA",,UBLR/17/006
yes,,,0.19486,51.904568,,,2020-03-27,,,,,,http://opendatacommunities.org/id/district-council/uttlesford,not owned by a public authority,,,,permissioned,,"Stansted Mountfitchet, CM24 8BZ",,UBLR/17/010
yes,,,0.295113,51.922798,,,2020-03-27,,,,,,http://opendatacommunities.org/id/district-council/uttlesford,not owned by a public authority,,,,permissioned,,Church End Broxted CM6 2BZ,,UBLR/17/012
yes,,,0.217374,51.817332,,,2020-03-27,,,,,,http://opendatacommunities.org/id/district-council/uttlesford,not owned by a public authority,,,,permissioned,,"Dunmow Road, Hatfield Heath, CM22 7BL",,UBLR/17/015
yes,,,0.197567,51.907611,,,2020-03-27,,,,,,http://opendatacommunities.org/id/district-council/uttlesford,not owned by a public authority,,,,permissioned,,"86 Cambridge Road, Stansted, CM22 7BL",,UBLR/17/014
