Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-11,-1.168172,52.256209,,0.06,2018-12-07,10,10,10,Conversion and extension to form 10 apartments,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2017-03-16,full planning permission,,permissioned,"7-13 Warwick Street, Daventry",DA/2016/0800,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/wphappcriteria.display,,,
yes,,2017-12-11,-1.168563,52.255637,,0.17,2018-12-07,9,9,9,Erection of apartments and conversion of hotel to apartments,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2016-07-15,full planning permission,,permissioned,"Abercorn Hotel, 101 Warwick Street, Daventry",DA/2015/1114,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/wphappcriteria.display,,,
yes,,2017-12-11,-1.248187,52.177548,,0.3,2018-12-07,8,8,8,Residential Development,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2017-03-27,outline planning permission,,permissioned,"Farol Ltd, Boddington Road, Byfield",DA/2016/0518,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/wphappcriteria.display,,,
yes,,2018-12-07,-1.16713,52.256301,,0.09,2018-12-07,10,10,10,Conversion and extension to form flats and mews houses,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2017-11-03,full planning permission,,permissioned,"Coach And Horses, Warwick Street, Daventry",DA/2016/0689,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=DA/2016/0689&backURL=<ahref=wphappcriteria.display?paSearchKey=1063076>SearchCriteria</a>><ahref='wphappsearchres.displayResultsURL?ResultID=1423005%26StartIndex=1%26SortOrder=APNID:desc%26DispResultsAs=WPHAPPSEARCHRES%26BackURL=<ahref=wphappcriteria.display?paSearchKey=1063076>SearchCriteria</a>'>SearchResults</a>,,,
yes,,2018-12-07,-1.085437,52.297026,,0.42,2018-12-07,13,13,13,Demolition of existing building and construction of 13 dwellings,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2015-12-10,full planning permission,,permissioned,"Former St Joseph's RC Church & Land To Rear, Station Road, Long Buckby",DA/2015/0183,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=DA/2015/0183&backURL=<ahref=wphappcriteria.display?paSearchKey=1063085>SearchCriteria</a>><ahref='wphappsearchres.displayResultsURL?ResultID=1423015%26StartIndex=1%26SortOrder=APNID:desc%26DispResultsAs=WPHAPPSEARCHRES%26BackURL=<ahref=wphappcriteria.display?paSearchKey=1063085>SearchCriteria</a>'>SearchResults</a>,,,
yes,,2018-12-07,-0.906111,52.328012,,0.16,2018-12-07,5,5,5,Change of use from office use (Class B1(a)) to 5 apartments,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2017-08-08,full planning permission,,permissioned,"Charter House, 35 Spratton Road, Brixworth",PD/2017/0028,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=PD/2017/0028&backURL=<ahref=wphappcriteria.display?paSearchKey=1065527>SearchCriteria</a>><ahref='wphappsearchres.displayResultsURL?ResultID=1426193%26StartIndex=1%26SortOrder=APNID:desc%26DispResultsAs=WPHAPPSEARCHRES%26BackURL=<ahref=wphappcriteria.display?paSearchKey=1065527>SearchCriteria</a>'>SearchResults</a>,,,
yes,,2017-12-11,-0.918645,52.334546,,2.77,2019-02-26,9,9,9,Erection of industrial and houisng units,Daventry District Council,http://opendatacommunities.org/id/district-council/daventry,not owned by a public authority,2013-12-24,full planning permission,,permissioned,"Old Station Yard, Station Road, Brixworth",DA/2013/0066,http://selfservice.daventrydc.gov.uk/swiftlg/apas/run/wphappcriteria.display,,,
