Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2016-09-16,-3.196595,50.798131,,1.13,2018-04-09,100,100,100,Outline planning application for residential development of up to 150no. dwellings; access to be considered all other matters reserved,East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2016-08-13,outline planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=N1QRDEGHFMC00,permissioned,"Land at Ottery Moor Lane, Honiton",BL1,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.196595&lat=50.798131,,,
yes,,2016-09-16,-3.199231,50.799265,,3.59,2018-04-09,50,50,50,"Site in 2 parts, see above.",East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2016-08-13,outline planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=N1QRDEGHFMC00,permissioned,"Land at Ottery Moor Lane, Honiton",BL2,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.199231&lat=50.799265,,,
yes,,2016-09-16,-3.379149,50.622969,,1.27,2018-04-09,50,50,50,Redevelopment to provide 50 residential units (including 20 affordable units),East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2013-12-11,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MNWXK8GH0AH00,permissioned,"Land at Pankhurst Close Trading Estate, Pankhurst Close, Exmouth",BL3,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.379149&lat=50.622969,,,
yes,,2016-09-16,-3.44639,50.703212,,8,2018-04-09,150,150,150,"14/2641 conversion of Winslade House to 61 residential units approved 18.05.2016. Hybrid outline application for 150 dwellings including full permission for 67 dwelling (conversion of Winslade House and stables, and 0.7ha of employment land use).",East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,,,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OEZTU3GHL3A00,pending decision,"Land and buildings at Winslade Park, Clyst St Mary",BL5,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.44639&lat=50.703212,,,
yes,,2016-05-16,-3.388332,50.620487,,0.37,2018-04-09,12,12,12,Demolition of existing dwelling and construction of 12 no apartments,East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2014-02-18,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MX872KGH0AH00,permissioned,"Land and buildings at 34 Cranford Avenue, Exmouth",BL6,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.388332&lat=50.620487,,,
,,2016-05-16,-3.28035,50.789126,,0.56,2018-04-09,32,32,32,Redevelopment of site and construction of 32 dwellings,East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2014-04-07,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=LKYVFQGH3A000,permissioned,"Land North Of Acland Park, Feniton",BL7,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.28035&lat=50.789126,,,
yes,,2016-05-17,-3.283934,50.749288,,1.73,2018-04-09,92,92,92,"Redevelopment of parcels of land making up the overall former Cuttler Hammer factory site and Tumbling Weir hotel car park. Comprising conversion of building to30 apartments, construction of 33 new dwellings and construction of 29 retirement apartments. West part of site substantially complete but factory site in progress and Tumbling Weir car park not started construction..",East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2014-08-19,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MFA5GLGH09100|https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MFA5IFGH09100|https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=O0WK5KGHHP100,permissioned,"Land and Buildings at Former Cuttler Hammer Factory and Tumbling Weir Hotel Car Park, Ottery St Mary",BL8,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.283934&lat=50.749288,,,
yes,,2016-05-17,-3.289625,50.741453,,2.12,2018-04-09,27,27,27,Change of use alteration and conversion of hotel and demolition and construction of side extension to provide 27 residential flats,East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2015-09-29,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=MJ53Y2GH09100,permissioned,"Land and buildings at Salston Manor Hotel, Ottery St Mary",BL9,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.289625&lat=50.741453,,,
,,2016-09-16,-3.059885,50.705171,,1.21,2018-04-09,90,90,90,Erection of 90 apartments (2 bedroom) new access public quayside and flood protection (Renewal of planning permission 08/2627/MOUT),East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2009-05-13,outline planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=NO8N1PGH02300,permissioned,"Land at Seaton Quay (Former Racal Site), Riverside Way Seaton Devon",BL10,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.059885&lat=50.705171,,,
yes,,2016-09-16,-3.235533,50.699745,,0.21,2018-04-09,5,5,5,Demolition of existing dwelling and construction of five chalet bungalows,East Devon District Council,http://opendatacommunities.org/id/district-council/east-devon,not owned by a public authority,2015-02-10,full planning permission,https://planning.eastdevon.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=NF7XYAGHH5I00,permissioned,Land at 14 Summerfield Sidmouth Devon,BL11,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.235533&lat=50.699745,,,
