Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-22,-3.532051,54.530612,,0.58,2017-12-22,10,10,10,Reserved Matters Application For Phase 2 (10 Dwellings) Including Associated Infrastructure,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2013-10-09,full planning permission,,permissioned,,"Adj Mill Hill Phase 2, Mill Hill, Cleator Moor",https://www.copeland.gov.uk/attachments/cbr001-adj-mill-hill-phase-2,CBR001
yes,,2017-12-22,-3.59925,54.535458,,0.47,2017-12-22,74,74,74,"Erection Of 74 Dwellings, Comprising 31 Self Build Plots 21 Dwellings For Sale 22 Dwellings For Rent Or Shared Ownership",Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2010-10-20,full planning permission,,permissioned,,"Colliers Way, Whitehaven.",https://www.copeland.gov.uk/attachments/cbr002-colliers-way-whitehaven,CBR002
yes,,2017-12-22,-3.276897,54.21236,,0.35,2017-12-22,10,10,10,Outline Application for The Erection Of 8 Detached Dwellings And One Detached Garage,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2014-09-10,reserved matters approval,,permissioned,,County Highways Depot Holborn Hill,https://www.copeland.gov.uk/attachments/cbr003-former-county-highways-depot,CBR003
yes,,2017-12-22,-3.264386,54.211917,,0.16,2017-12-22,9,9,10,Demolition Of Existing Commercial Building & Erection Of Nine Dwellings (Resubmission Of 4/08/2146/0),Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2012-02-09,full planning permission,,permissioned,,Former Ashburners Compound Millom Road,https://www.copeland.gov.uk/attachments/cbr004-former-ashburners-compound,CBR004
,,2017-12-22,-3.530048,54.480781,,0.14,2017-12-22,8,8,8,Reserved Matters For Full Development Details (8 Dwellings),Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,,,,pending decision,,Former Cinema Buildings Bookwell Street,https://www.copeland.gov.uk/attachments/cbr005-former-cinema-egremont,CBR005
yes,,2017-12-22,-3.58712,54.535941,,1.31,2017-12-22,48,28,34,48 Dwellings,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2007-02-07,full planning permission,,permissioned,,Former Lakeland Laundry,https://www.copeland.gov.uk/attachments/cbr006-former-lakeland-laundary,CBR006
yes,,2017-12-22,-3.581813,54.532218,,0.24,2017-12-22,10,10,12,Outline Application for Four Individual Residential Building Plots,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2014-05-01,outline planning permission,,permissioned,,Former Nightclub Meadow Road,https://www.copeland.gov.uk/attachments/cbr007-former-nightclub-meadow-road-whitehaven,CBR007
yes,,2017-12-22,-3.602662,54.49041,,0.46,2017-12-22,8,8,8,"Improved Vehicle Access & Proposed Alterations To Car Park, Plus Construction Of 8 New Houses",Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2013-09-23,full planning permission,,permissioned,,Former Outbuildings Seacote Hotel,https://www.copeland.gov.uk/attachments/cbr008-former-outbuildings-seacote-hotel,CBR008
yes,,2017-12-22,-3.560663,54.539306,,1.28,2017-12-22,30,25,35,,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2017-03-31,full planning permission,,permissioned,,Former Sekers Factory Main Street,https://www.copeland.gov.uk/attachments/cbr009-former-sekers-factory-site,CBR009
,,2018-01-31,-3.528062,54.486307,,0.46,2018-01-31,25,25,40,ERECTION OF 28 NO. APARTMENTS OVER 3.5 STOREYS AND 13 NO. DWELLINGS OVER 2.5 STOREYS WITH ASSOCIATED LANDSCAPING AND CAR PARKING,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,,,,pending decision,,"Land at East Road, Egremont",https://www.copeland.gov.uk/attachments/cbr010-land-east-road-egremont,CBR010
yes,,2017-12-22,-3.544758,54.514766,,1.55,2017-12-22,26,26,26,Outline Application For The Erection Of 26 Dwellings,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2017-08-15,outline planning permission,,permissioned,,Land rear to Rusper Drive,https://www.copeland.gov.uk/attachments/cbr011-land-rear-rusper-drive-moor-row,CBR011
yes,,2017-12-22,-3.585176,54.531644,,3.38,2017-12-22,107,95,110,Residential Development (107 Dwellings),Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2015-04-20,full planning permission,,permissioned,,"Old Welfare Home, Whitehaven",https://www.copeland.gov.uk/attachments/cbr012-old-welfare-home-whitehaven,CBR012
yes,,2017-12-22,-3.285679,54.197401,,3,2017-12-22,80,75,85,"Application To Replace An Extant Permission In Order To Extend The Time Limit For Implementation - Application No. 4/07/2735, New Housing Development",Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2010-11-11,full planning permission,,permissioned,,"Poolside, Haverigg",https://www.copeland.gov.uk/attachments/cbr013-poolside-haverigg,CBR013
yes,,2017-12-22,-3.56278,54.53846,,0.91,2017-12-22,29,25,35,Demolition Of Factory And Outline Planning For Erection Of Dwellings,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2017-04-05,outline planning permission,,permissioned,,"Romar Site, Main Street, Whitehaven",https://www.copeland.gov.uk/attachments/cbr014-romar-site-whitehaven,CBR014
yes,,2017-12-22,-3.552059,54.558579,,0.1,2017-12-22,5,5,5,Application To Replace An Extant Planning Permission In Order To Extend The Time For Implementation For Erection Of 5 No. 4 Bedroomed Detached House,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2010-05-10,full planning permission,,permissioned,,St Michaels Chapel Moresby Parks Road,https://www.copeland.gov.uk/attachments/cbr015-st-michaels-chapel-moresby-parks,CBR015
yes,,2017-12-22,-3.267311,54.212291,,0.62,2017-12-22,25,25,25,25 Residential Units,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,1993-09-02,full planning permission,,permissioned,,"Station Yard, Millom",https://www.copeland.gov.uk/attachments/cbr016-station-yard-millom,CBR016
yes,,2017-12-22,,,,1.19,2017-12-22,73,25,35,Outline Application For Residential Development,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2017-01-13,full planning permission,,permissioned,,"Station Yard, Moor Row",https://www.copeland.gov.uk/attachments/cbr017-station-yard-moor-row,CBR017
yes,,2017-12-22,-3.489359,54.54016,,0.31,2017-12-22,9,9,9,Outline Application For Erection Of Nine Detached Two Storey Dwellings,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,not owned by a public authority,2017-10-18,full planning permission,,permissioned,,Trafalgar Square Yeathouse Road,https://www.copeland.gov.uk/attachments/cbr018-trafalgar-square-frizington,CBR018
yes,,2017-12-22,-3.582436,54.567874,,0.44,2017-12-22,7,7,7,Outline Application For Seven Dwellings,Copeland Borough Council,http://opendatacommunities.org/id/district-council/copeland,owned by a public authority,2017-01-13,full planning permission,,permissioned,,Whites Row,https://www.copeland.gov.uk/attachments/cbr019-whites-row-parton,CBR019
