Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-21,-2.169097,53.3578,,0.14,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-03-30,full planning permission,,permissioned,"Mercury Garage, 185 Moss Lane, Bramhall, Stockport, SK7 1BA",SKB0001,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.187657,53.377128,,0.66,2017-12-21,184,184,184,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-01-03,Other,,permissioned,"Sim Chem House, Warren Road, Cheadle Hulme, Stockport, SK8 5BR",SKB0002,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.148825,53.395344,,0.06,2017-12-21,10,10,10,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-02-09,full planning permission,,permissioned,"101-107 Buxton Road, Heaviley, Stockport, SK2 6LR",SKB0003,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.157553,53.412167,,0.02,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-10-03,full planning permission,,permissioned,"15-17 Bridge Street, Stockport, SK1 1XR",SKB0004,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.154262,53.399423,,0.04,2017-12-21,9,9,9,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-11-13,Other,,permissioned,"250 Wellington Road South, Heaviley, Stockport, SK2 6NW",SKB0005,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.15594,53.410805,,0.06,2017-12-21,22,22,22,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2015-04-28,full planning permission,,permissioned,"2-6 Churchgate, Town Centre, Stockport, SK1 1YA",SKB0006,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.184228,53.398842,,0.12,2017-12-21,8,8,8,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"265 Edgeley Road, Edgeley, Stockport, SK3 0TR",SKB0007,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.15681,53.410826,,0.02,2017-12-21,21,21,21,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-07-04,outline planning permission,,permissioned,"32-36 Lower Hillgate, Stockport, SK1 1JE",SKB0008,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.166746,53.392955,,1.95,2017-12-21,67,67,67,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Adswood Road/Siddington Avenue, Stockport, SK3 8LF",SKB0009,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.164511,53.395065,,0.99,2017-12-21,35,35,35,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Adswood Road/Stockholm Road (north of), Stockport, SK3 9QT",SKB0010,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.181216,53.406009,,0.08,2017-12-21,8,8,8,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-02-10,full planning permission,,permissioned,"Bow Garrett, 199 Brinksway, Edgeley, Stockport, SK3 0HP",SKB0011,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.155136,53.40803,,0.04,2017-12-21,5,5,5,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2015-06-19,full planning permission,,permissioned,"Junction of Middle Hillgate and Wesley Street, Town Centre, Stockport, SK1 3NH",SKB0012,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.16728,53.394397,,0.53,2017-12-21,30,30,30,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-02-13,outline planning permission,,permissioned,"Land Off Stockholm Road, Adswood, Stockport, SK3 9QR",SKB0013,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.177494,53.390711,,0.31,2017-12-21,12,12,12,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-12-22,full planning permission,,permissioned,"Land to rear of Athlone Avenue, Cheadle Hulme, Stockport, SK8 5QP",SKB0014,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.144187,53.400624,,0.24,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-08-24,outline planning permission,,permissioned,"Maitland Street Garage, Maitland Street, Heaviley, Stockport, SK1 4ND",SKB0015,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.158837,53.409027,,0.09,2017-12-21,80,80,80,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-04-06,Other,,permissioned,"Regal House, Duke Street, Stockport, SK1 3DA",SKB0016,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.159051,53.409376,,0.07,2017-12-21,7,7,7,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-06-17,full planning permission,,permissioned,"St Petersgate Chambers, 35-45 St Petersgate, Stockport, SK1 1DH",SKB0017,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.161963,53.409058,,0.07,2017-12-21,11,11,11,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-07-29,full planning permission,,permissioned,"The Arches, 1 Wellington Road South, Stockport, SK4 1AA",SKB0018,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.15866,53.411523,,0.06,2017-12-21,11,11,11,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-05-12,full planning permission,,permissioned,"White Lion PH, 20-22 Great Underbank, Stockport, SK1 1LW",SKB0019,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.213303,53.394769,,0.01,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-10-18,full planning permission,,permissioned,"5 Ashfield Road, Cheadle, Stockport, SK8 1BB",SKB0020,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.225323,53.383373,,0.21,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-01-08,full planning permission,,permissioned,"75-109 Silverdale Road, Gatley, Stockport, SK8 4RF",SKB0021,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.1605,53.437473,,0.02,2017-12-21,5,5,5,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-03-21,full planning permission,,permissioned,"2 Houldsworth Square, North Reddish, Stockport, SK5 7AG",SKB0022,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.158071,53.438012,,0.05,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-03-01,full planning permission,,permissioned,"Williamson House, Williamson Street, North Reddish, Stockport, SK5 6AA",SKB0023,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.064926,53.401488,,0.27,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-03-27,full planning permission,,permissioned,"10 Manor Road, Marple, Stockport, SK6 6PW",SKB0024,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.054509,53.412387,,0.08,2017-12-21,7,7,7,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-07-31,Other,,permissioned,"Orlando House, 11 Compstall Road, Marple Bridge, Stockport, SK6 5HH",SKB0025,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.121924,53.380807,,0.15,2017-12-21,13,13,13,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-12-01,full planning permission,,permissioned,"13 Vine Street, Hazel Grove, Stockport, SK7 4JS",SKB0026,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.12584,53.383402,,0.04,2017-12-21,5,5,5,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-02-29,full planning permission,,permissioned,"35-39 London Road, Hazel Grove, Stockport, SK7 4AW",SKB0027,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.129517,53.385368,,0.07,2017-12-21,7,7,7,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-02-14,full planning permission,,permissioned,"446 Buxton Road, Great Moor, Stockport, SK2 7JB",SKB0028,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.131522,53.392719,,0.3,2017-12-21,15,15,15,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-12-14,full planning permission,,permissioned,"Former Cherry Tree Hospital, Dialstone Lane, Stockport, SK2 7PZ",SKB0029,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.125076,53.382884,,0.08,2017-12-21,10,10,10,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2014-03-13,full planning permission,,permissioned,"The Grove Inn, 53 London Road, Hazel Grove, Stockport, SK7 4AX",SKB0030,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.118617,53.379177,,0.07,2017-12-21,5,5,5,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-03-16,full planning permission,,permissioned,"White Hart, 259 London Road, Hazel Grove, Stockport, SK7 4PL",SKB0031,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.099385,53.414123,,0.35,2017-12-21,39,39,39,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,pending decision,"99 and Bridge Works site, School Brow, Romiley, Stockport, SK6 3AT",SKB0032,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.096734,53.412697,,0.17,2017-12-21,9,9,9,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-04-01,full planning permission,,permissioned,"Gralan House, Green Lane, Romiley, Stockport, SK6 3JG",SKB0033,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.101257,53.429577,,0.3,2017-12-21,9,9,9,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2016-09-16,full planning permission,,permissioned,"Thorn Works, Mill Pool Close, Woodley, Stockport, SK6 1SB",SKB0034,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.186163,53.403523,,0.21,2017-12-21,5,5,5,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Cecil Court, Kent Road, Edgeley, Stockport, SK3 0JD",SKB0035,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.164645,53.420954,,0.15,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Public House, 99 Manchester Road",SKB0036,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.158937,53.415554,,0.17,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,mixed ownership,,,,not permissioned,"Lancashire Hill, Penny Lane",SKB0037,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.157906,53.418764,,0.16,2017-12-21,6,6,6,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,mixed ownership,,,,not permissioned,"Penny Lane, Cymbal Court",SKB0038,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.145113,53.392258,,0.19,2017-12-21,7,7,7,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Davenport Park Hotel, 175 Buxton Road, Stockport",SKB0039,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.211011,53.411702,,0.31,2017-12-21,8,8,8,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Car park at the Griffin Hotel, 600 Didsbury Road, SK4 3AJ",SKB0040,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.107953,53.373095,,0.2,2017-12-21,8,8,8,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Former Ford Dealership, 60 Buxton Road, Hazel Grove",SKB0041,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.101058,53.415499,,0.22,2017-12-21,8,8,8,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Cow And Calf Hotel, School Brow, Bredbury, Stockport SK6 3AT",SKB0042,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.16359,53.397438,,0.31,2017-12-21,21,21,21,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,pending decision,"Mersey Dynamo, Range Road, Shaw Heath, Stockport, SK3 8EE",SKB0043,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.156082,53.449359,,0.3,2017-12-21,12,12,12,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Station Approach, Gorton Road, Reddish, Stockport, SK5 6RL",SKB0044,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.170115,53.415209,,0.34,2017-12-21,13,13,13,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Land off Stitch Lane, Heaton Norris, Stockport, SK4 1HS",SKB0045,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.208939,53.395289,,0.33,2017-12-21,13,13,13,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"R Bullock & Co, Commercial Garage, Stockport Road, SK8 2AG",SKB0046,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.233401,53.393437,,0.34,2017-12-21,22,22,22,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,2017-11-17,full planning permission,,permissioned,"Former Tatton Cinema, Gatley Road, Gatley, Cheadle, SK8 4BD",SKB0047,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.151445,53.39753,,0.36,2017-12-21,14,14,14,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,mixed ownership,,,,not permissioned,"Former ATS site, 35 Buxton Rd, Stockport, SK2 6LU",SKB0048,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.120203,53.392699,,0.29,2017-12-21,14,14,14,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,owned by a public authority,,,,not permissioned,"17-31 Hexham Close, Offerton, Stockport, SK2 5PR",SKB0049,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.184647,53.39893,,0.48,2017-12-21,17,17,17,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"265 Edgeley Road, Edgeley, Stockport",SKB0050,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.166808,53.423228,,0.44,2017-12-21,17,17,17,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,pending decision,"Ash Hotel, 232 Manchester Road, Heaton Norris, Stockport",SKB0051,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.215871,53.395722,,0.51,2017-12-21,18,18,18,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Travis Perkins Depot, Lime Grove, Cheadle, Stockport, SK8 1PF",SKB0052,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.165251,53.434979,,0.61,2017-12-21,90,90,90,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,not permissioned,"Broadstone Mill, Broadstone Road, Reddish, SK5 7DL",SKB0053,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
yes,,2017-12-21,-2.179448,53.405682,,0.77,2017-12-21,175,175,175,,Stockport Council,http://opendatacommunities.org/id/metropolitan-district-council/stockport,not owned by a public authority,,,,pending decision,"Springmount Mill, Northgate Road, Stockport ",SKB0054,https://www.stockport.gov.uk/brownfield/brownfield-land-register,,,
