Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-18,-2.241555,53.033535,,0.15,2019-12-12,,,,09/00155/FUL - Demolition of existing public house and erection of seven dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2009-05-22,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001IMBBMLI000,permissioned,"London Road, Chesterton (Bennett Arms)",HD18,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KGT5XUBM06A00,,,
yes,,2017-12-18,-2.368071,53.019213,,0.16,2019-12-12,,,,17/00968/FUL - Erection of 9 no. dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2018-04-10,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00013SBMLI000,permissioned,"Wrinehill Garage, Main Road, Betley",HM3,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0C7NOBMKXQ00,,,
yes,,2019-12-12,-2.298715,53.039266,,0.23,2019-12-12,,,,19/00117/FUL - Proposed demolition of existing Working Mens Club and the development of 7 new dwelling houses,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-04-05,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DCVBMLI000,permissioned,"Minnie Close, Halmerend (Working Mens Club)",HM9,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PN6GFYBMMY100,,,
,,2019-12-12,-2.366432,53.036595,,0.23,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Land off East Lawns, Betley",HM28,,,,
yes,,2017-12-18,-2.234533,53.094598,,0.29,2019-12-12,,,,18/00059/REM - 8 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,owned by a public authority,2018-03-27,reserved matters approval,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NBSAMEBM03Y00,permissioned,"Former Garages at Gloucester Road, Kidsgrove",KG15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P323PPBMI9400,,,
yes,,2017-12-18,-2.241689,53.091838,,0.13,2019-12-12,,,,18/00686/REM - Erection of 6 town houses,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2018-10-30,reserved matters approval,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O4CBMLI000,permissioned,"Lock Up Garages Sussex Drive, Kidsgrove",KG16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEJ7HOBMFQG00,,,
yes,,2017-12-18,-2.237602,53.091812,,0.18,2019-12-12,,,,11/00494/FUL - Development of new town houses. Now lapsed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2011-12-23,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016AHBMLI000,not permissioned,"William Road, Kidsgrove (site of the Galley PH)",KG6,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRRZTZBM4V000,,,
yes,,2018-12-11,-2.293089,53.013843,,14.16,2019-12-12,,,,18/00262/REM - Erection of 100 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2018-08-17,reserved matters approval,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JE2HYOBMY3000,permissioned,"Pepper Street, Keele",KL16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P6CXZXBMGZH00,,,
yes,,2017-12-18,-2.288406,53.006116,,5.69,2019-12-12,,,,15/01004/FUL - Residential development of 83 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-04-05,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001JW5BMLI000,permissioned,"The Hawthorns, Keele (West)",KL17,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXN863BM02600,,,
yes,,2019-12-12,-2.273372,53.000961,,7.25,2019-12-12,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-07-22,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,"Horwood Hall, Keele University",KL28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,
yes,,2019-12-12,-2.273372,53.000961,,3.66,2019-12-12,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-07-22,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,"Lindsey Hall, Keele University",KL29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,
