Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
yes,,,,,,0.5,2019-10-20,,,,"Five buildings of 5, 7, 10, 11 and 31 storeys comprising 736 student bed spaces, 85 residential flats",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.258008 51.521764)
,,,,,,0.4,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.262619 51.521680)
,,,,,,0.2,2019-10-20,,,,Application pending consideration. Two buildings of 25 and 35 storeys comprising 380 residential flats,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.261495 51.520730)
,,,,,,0.2,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.262254 51.520037)
,,,,,,0.5,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.261540 51.519570)
,,,,,,3.7,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.253067 51.520129)
,,,,,,0.6,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.251536 51.521258)
,,,,,,4,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.269333 51.528420)
yes,,,,,,0.3,2019-10-20,,,,"Permission is subject to S106 being agreed. Part 4, 5, 6 and 9 storey building comprising 141 extra care units (Use Class C2), 48 being affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.258556 51.534934)
,,,,,,2.7,2019-10-20,,,,This site includes an extant pemission for a hotel to the south of Coronation Road which has not been built out,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.282546 51.530042)
yes,,,,,,2.4,2019-10-20,,,,"5 to 27-storey buildings, 807 C3 homes of which 263 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.282546 51.530042)
