Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
,,,,,,1.6,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.240301 51.532460)
yes,,,,,,0.1,2019-10-20,,,,"Permission is subject to S106 being agreed. 20-storey building, 85 C3 homes of which 28 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.237725 51.531963)
,,,,,,9.7,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.239694 51.527272)
,,,,,,1.8,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.241983 51.529977)
,,,,,,1.1,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.237370 51.529215)
yes,,,,,,0.2,2019-10-20,,,,"Permission is subject to S106 being agreed. 4-storey and 11-storey buildings, 47 C3 homes of which 15 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.235402 51.527993)
yes,,,,,,0.5,2019-10-20,,,,"Permission is subject to S106 being agreed. 19-storey building, 200 C3 homes of which 67 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.235433 51.527194)
yes,,,,,,0.1,2019-10-20,,,,"Permission is subject to S106 being agreed. 6 to 20-storey buildings, 164 C3 homes of which 44 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.234356 51.526645)
,,,,,,0.1,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.234097 51.526241)
,,,,,,0.2,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.239968 51.531449)
,,,,,,0,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.256048 51.524965)
,,,,,,0.3,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.249123 51.528293)
,,,,,,0.7,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.248928 51.527815)
yes,,,,,,1,2019-10-20,,,,"6 to 26-storey buildings, 601 C3 homes of which 242 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.249166 51.527171)
,,,,,,14.1,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.246297 51.525819)
,,,,,,0.2,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.233539 51.524900)
,,,,,,0.9,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.230991 51.524500)
,,,,,,0.4,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.231601 51.523710)
,,,,,,3.5,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.255338 51.524560)
,,,,,,0.7,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.256650 51.523780)
,,,,,,0.2,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.253385 51.525368)
yes,,,,,,0.1,2019-10-20,,,,16 to 24-storey buildings comprising 424 student bed spaces,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.258666 51.522915)
yes,,,,,,0.5,2019-10-20,,,,Application pending consideration. 3 buildings between 12 and 25 storeys in height to provide 390 residential units of which 105 affordable,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.257501 51.522270)
,,,,,,1.7,2019-10-20,,,,,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.257258 51.520648)
yes,,,,,,0.6,2019-10-20,,,,"Four buildings of 2, 9, 11, 32 and 42 storeys comprising 578 residential flats, 164 affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.262053 51.522109)
yes,,,,,,1.1,2019-10-20,,,,8 blocks ranging in height from 6 to 32 storeys to incorporate up to 764 residential flats,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.260823 51.521577)
,,,,,,0.1,2019-10-20,,,,"Permission is subject to S106 being agreed. Part 10, part 36 storey building comprising 355 residential units, 30% affordable",,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,,,,,,,,,POINT (-0.259372 51.522012)
