Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-15,-0.417178,51.383359,,0.02,2017-12-15,5,5,5,Part two/part first floor side and two storey and single storey rear extensions and conversion of part of first floor to provide five flats,Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2014-12-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt12+1hy,permissioned,,9 Ashley Road Walton-on-Thames Surrey KT12 1HY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2095578/2095578.pdf,1
yes,,2017-12-15,-0.332973,51.393801,,0.16,2017-12-15,,,,"Redevelopment of the site to provide a detached three storey building located to the rear comprising of boatyard and offices at ground floor and 8 flats above and detached two storey building to the front comprising of access with 1 flat above, along with associated parking following demolition of all existing buildings on site",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2015-02-10,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=taggs,permissioned,,Taggs Boatyard 44 Summer Road Thames Ditton Surrey KT7 0QQ,http://edocs.elmbridge.gov.uk/IAM/IAMCache/1941899/1941899.pdf,2
yes,,2017-12-15,-0.352172,51.392732,,3.03,2017-12-15,,,,"Outline planning application (means of access only to be determined at this time) for development comprising up to 95 residential units including 38 affordable units following demolition of existing industrial buildings (16,618 sqm)",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2015-12-16,outline planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=imber+court+trading,permissioned,,Imber Court Trading Estate Orchard Lane East Molesey Surrey KT8 0BY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2340311/2340311.pdf,3
yes,,2017-12-15,-0.441288,51.363584,,0.31,2017-12-15,,,,Detached part four/part three/part two storey building with basement parking containing 15 flats following demolition of existing block of flats and 2 existing garage blocks,Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-03-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=lincoln+court,permissioned,,Lincoln Court Old Avenue Weybridge Surrey KT13 0PH,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2301966/2301966.pdf,4
yes,,2017-12-15,-0.351498,51.399098,,0.52,2017-12-15,,,,"Development comprising 2 detached three storey buildings, 1 part two/part three storey building and a terrace of 5 houses (total of 50 residential units) with associated parking and new pedestrian access following demolition of Molesey Community Centre, Radnor House and Sandra House (260sqm)",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-03-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt8+9jl,permissioned,,Site of Molesey Centre for the Community School Road Sandra House and Radnor House Hansler Grove East Molesey Surrey KT8 9JL,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2290975/2290975.pdf,5
yes,,2017-12-15,-0.367114,51.367906,,0.79,2017-12-15,,,,"Redevelopment to provide an extension to the existing Waitrose store with ancillary servicing and car parking, including reconfiguration of the access arrangements, along with demolition of the former Surrey Police Station and redevelopment to provide flexible ground floor retail space with 6 residential units above and ancillary parking, servicing and access",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-04-26,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=105+high+street,permissioned,,105 - 113 High Street Esher Surrey KT10 9QE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2200922/2200922.PDF,6
yes,,2017-12-15,-0.354675,51.399907,,0.04,2017-12-15,,,,PD Prior Notification : Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-06-13,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=96+walton+road,permissioned,,96 and 96R Walton Road East Molesey Surrey KT8 0DL,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2507280/2507280.pdf,7
yes,,2017-12-15,-0.331679,51.39264,,0.06,2017-12-15,,,,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-07-26,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=13+high+street,permissioned,,13-19 High Street Thames Ditton Surrey KT7 0SD,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2589844/2589844.pdf,11
yes,,2017-12-15,-0.416637,51.384017,,0.1,2017-12-15,,,,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-09-01,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=83+high+street,permissioned,,83 High Street Walton-On-Thames Surrey KT12 1DU,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2562091/2562091.pdf,12
yes,,2017-12-15,-0.412778,51.389657,,0.04,2017-12-15,,,,PD Prior Notification: Change of use from Offices (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-11-10,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kingsbridge+house,permissioned,,Kingsbridge House Kingsbridge Road Walton-On-Thames KT12 2BH,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2680081/2680081.pdf,13
yes,,2017-12-15,-0.447623,51.368668,,0.28,2017-12-15,,,,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-11-11,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=clive+house,permissioned,,Clive House 12 - 18 Queens Road Weybridge Surrey KT13 9XE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2615248/2615248.pdf,14
yes,,2017-12-15,-0.455314,51.371935,,0.05,2017-12-15,,,,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-12-02,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=70+baker+street,permissioned,,70 Baker Street Weybridge Surrey KT13 8AL,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2636931/2636931.pdf,15
yes,,2017-12-15,-0.403426,51.373011,,16.73,2017-12-15,,,,"Reserved Matters application (housing development) for Appearance, Landscaping, Layout and Scale pursuant to application 2013/5035 (296 residential units for means of access)",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-03-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=rydens+enterprise,permissioned,,Rydens Enterprise School and Sixth Form College Hersham Road Hersham Walton-On-Thames Surrey KT12 5PY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2205524/2205524.pdf,16
yes,,2017-12-15,-0.454524,51.375351,,0.1,2017-12-15,,,,PD Prior Notification: Change of use from Offices (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-01-27,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=trinity+place,permissioned,,Trinity Place 29 Thames Street Weybridge Surrey KT13 8JG,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2737126/2737126.pdf,17
yes,,2017-12-15,-0.459823,51.372012,,0.03,2017-12-15,,,,Detached part four/part three/part single storey building comprising 7 flats with associated bin and cycle stores,Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2016-10-19,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=land+south+of+17+to+19,permissioned,,Land to rear of 17-19 Church Street Weybridge Surrey KT13 8DE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2512873/2512873.pdf,19
yes,,2017-12-15,-0.367669,51.403578,,0.5,2017-12-15,,,,"Development comprising 28 residential units and associated works including the provision of car and cycle parking, landscaping and refuse and recycling stores following demolition of the existing 13 houses",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-03-14,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=1+abbey+walk,permissioned,,1-24 Abbey Walk West Molesey Surrey KT8 2JH,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2649180/2649180.pdf,20
yes,,2017-12-15,-0.415352,51.332176,,0.6,2017-12-15,,,,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-04-04,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=Wyndham+Court,permissioned,,The Glashaus 74 Portsmouth Road Cobham Surrey KT11 1HY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2724473/2724473.pdf,21
yes,,2017-12-15,-0.439771,51.372709,,0.04,2017-12-15,,,,"Outline application for two-storey detached building to provide 6 flats following demolition of existing buildings (for access, appearance, layout and scale)",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-04-25,outline planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=Site+Of+15+To+19+And+,permissioned,,15 To 19 St Marys Road Weybridge Surrey KT13 9PT,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2791661/2791661.pdf,22
yes,,2017-12-15,-0.455395,51.372934,,0.14,2017-12-15,,,,"A terrace of 4 two-storey houses with rooms in the roof space and dormer windows, a terrace of 3 two-storey houses and a detached two-storey building comprising 2 flats following partial demolition of existing building (Outline application for access, appearance, layout and scale)",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-04-25,outline planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=18+Springfield+Lane,permissioned,,18 Springfield Lane Weybridge Surrey KT13 8AW,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2596022/2596022.pdf,23
yes,,2017-12-15,-0.418174,51.384461,,0.05,2017-12-15,,,,Change of use on 1st and 2nd floors to provide 7 flats with additional fenestration and new extractor flue,Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-05-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=60+high+street,permissioned,,The Wellington 60 High Street Walton-On-Thames Surrey KT12 1BY,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2838600/2838600.pdf,25
yes,,2017-12-15,-0.323707,51.382644,,0.29,2017-12-15,,,,"2 detached two-storey houses with integral garage and 2 pairs of semi-detached two-storey house, associated access, parking and amenity space",Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-05-23,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=Land+South+Of+28+Sugden+Road,permissioned,,Land to Rear of 28-34 Sugden Road Long Ditton Surrey KT7 0AE,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2726497/2726497.pdf,26
yes,,2017-12-15,-0.439615,51.37393,,0.02,2017-12-15,,,,Change of use from Drinking Establishment (A4) (284sqm) to Residential (C3) to provide 4 flats and 1 terraced house and alterations to fenestration following demolition of existing single storey rear projection,Elmbridge Borough Council,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2017-06-13,full planning permission,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=11+cross+road,permissioned,,11 Cross Road Weybridge Surrey KT13 9NX,http://edocs.elmbridge.gov.uk/IAM/IAMCache/2764516/2764516.pdf,27
