Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-10-17,-1.253276,51.516743,,0.95,2017-10-17,25,25,25,Approval of Reserved Matters following Outline planning permission 11/01159/XOUTMA - Development of 25 residential units with ancillary buildings,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-04-14,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N4L0L4RD04Z00,permissioned,"Greens Yard, High Street (Tithe Barn Close), Compton",BR/2017/03,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4L0L4RD04Z00,,,
,,2017-10-17,-1.25482,51.51838,,9.1,2017-10-17,140,140,140,http://info.westberks.gov.uk/hsa | http://info.westberks.gov.uk/CHttpHandler.ashx?id=36532&p=0. http://info.westberks.gov.uk/hsa | http://info.westberks.gov.uk/CHttpHandler.ashx?id=36532&p=0,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,owned by a public authority,,,,not permissioned,"Pirbright Institute site (formerly Institute For Animal Health), Compton",BR/2017/04,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,,,
yes,,2017-10-17,-1.246687,51.380449,,7.32,2017-10-17,8,8,8,"Change of use and redevelopment to provide a mixed-use scheme incorporating 2 stables buildings and 1 new vehicular access, 13 new dwellings, and the change of use of the existing Crookham House by its conversion to a further single dwelling and including associated demolition of existing extensions and outbuildings and the change of use of playing fields to ancillary recreation and equestrian uses. Alternatively, and notwithstanding the implementation of the rest of the proposed development, in the event that the residential use of the converted building is not brought into use or does not continue; the change of use of the Crookham House building to offices (Use Class B1(a))",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-03-26,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MPQ9R4RD04Z00,permissioned,"Crookham House, Crookham Hill, Crookham Common, Thatcham",BR/2017/05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MPQ9R4RD04Z00,,,
yes,,2017-10-17,-1.511632,51.414294,,0.05,2017-10-17,6,6,6,"Demolition of existing Hall and erection of 6 flats (4 x one bed and 2 x two bed) plus parking, access and landscaping",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2014-07-31,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MUAU7KRD0EA00,permissioned,"St Johns Hall, Station Road, Hungerford",BR/2017/06,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MUAU7KRD0EA00,,,
yes,,2017-10-17,-1.515336,51.414867,,0.2,2017-10-17,13,13,13,"Comprehensive redevelopment of land to the rear of Three Swans Hotel, involving the construction of 13 residential units including 10 apartments and 3 houses, parking, landscaping, access from Park Street and associated works. To include partial demolition of non listed wall",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2011-12-28,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LRVR39RD09N00,permissioned,"Three Swans Hotel, 117 High Street, Hungerford",BR/2017/07,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRVR39RD09N00,,,
yes,,2017-10-17,-1.322955,51.405867,,0.05,2017-10-17,6,6,6,Change of Use from B1 (a) into six flats,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-01-06,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OGQRWNRD0K500,permissioned,"39 London Road, Newbury",BR/2017/10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGQRWNRD0K500,,,
yes,,2017-10-17,-1.319304,51.406817,,0.12,2019-01-08,27,27,27,Application to determine if Prior Approval is required for the Change of Use of offices (B1a) to 27 studio apartments.,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-10-05,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OUIYNGRD0KD00,permissioned,"Sherwood House, 78 London Road, Newbury",BR/2017/13,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OUIYNGRD0KD00,,,
yes,,2017-10-17,-1.319128,51.400297,,0.23,2017-10-17,12,12,12,Demolition of existing four almshouses and the erection of 16 No. one and two bedroom affordable flats together with associated external works,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-09-10,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NIY0PKRD04Z00,permissioned,"11-17 and land to side of Mill Lane, Newbury",BR/2017/14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NIY0PKRD04Z00,,,
yes,,2017-10-17,-1.319933,51.406065,,0.1,2017-10-17,12,12,12,Demolition of existing building and the erection of 12 no. flats and associated works,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-05-13,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NTKXTRRD0EF00,permissioned,"St Marys Surgery, St Marys Road, Newbury",BR/2017/15,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NTKXTRRD0EF00,,,
yes,,2017-10-17,-1.327878,51.406444,,0.16,2019-01-08,42,42,42,"Application to determine if Prior Approval is required for conversion of existing office building to 42 flats, with 40 allocated parking spaces.",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2018-08-16,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P1MJITRD01V00,permissioned,"Centrix House, 5 Oxford Road, Newbury",BR/2017/16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1MJITRD01V00,,,
yes,,2017-10-17,-1.325462,51.399686,,0.17,2019-01-08,16,16,16,"Conversion, extensions (to rear and third floor) and alterations to existing building to create 16 no. residential units (C3)",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-08-30,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ONOAODRD0IP00,permissioned,"25 Bartholomew Street, Newbury",BR/2017/17,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOAODRD0IP00,,,
yes,,2017-10-17,-1.315512,51.400806,,0.24,2017-10-17,22,22,22,"Full planning application for the proposed conversion of extant permission of B1a offices to residential use - erection of 22 residential dwellings including 50% affordable housing with associated car parking , cycles parking and associated works",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-01-10,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O44Z06RD04Z00,permissioned,"Land at Former Travis Perkins, Carpenters Close, Newbury ",BR/2017/18,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O44Z06RD04Z00,,,
yes,,2017-10-17,-1.3168,51.406011,,0.3,2019-01-07,35,35,35,"Development of 35 apartments containing a mixture of 1, 2 and 3 bedrooms and 1,700sqm B1 Office Space. Matters to be considered: Access, Layout and Scale",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-10-31,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OSXGHQRD04Z00,permissioned,"115 London Road and part of Merchant Court, Kelvin Road, Newbury",BR/2017/19,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OSXGHQRD04Z00,,,
yes,,2017-10-17,-1.321287,51.385482,,0.34,2017-10-17,37,37,37,Demolition of existing garage and change of use to erect 37 No.1 and 2 bedroom apartments and associated works,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2007-11-23,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JMECZERD79000,permissioned,"J & P Motors, Newtown Road, Newbury",BR/2017/20,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JMECZERD79000,,,
yes,,2017-10-17,-1.324746,51.400464,,0.33,2017-10-17,47,47,47,"Demolition of all existing buildings to facilitate the mixed use redevelopment of the site for residential and commercial uses comprising 4 units for Class A1/ A2/A3 use at ground floor with 47no. Class 3 flats (15 x 1 bed and 32 x 2 beds) on up to three upper floors, provision of ground floor car/cycle parking and refuse storage areas and landscaped amenity areas at ground and first floor levels",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2016-08-05,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NYTX63RD0JA00,permissioned,"11 -15 Bartholomew Street, Newbury",BR/2017/21,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYTX63RD0JA00,,,
yes,,2017-10-17,-1.325756,51.405101,,0.43,2019-01-07,72,72,72,"Development of 72 Flats. Matters to be considered: Access, Appearance, Layout and Scale",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-11-22,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OTC6K7RD0HE00,permissioned,"Land to rear of 1-15 The Broadway, Newbury",BR/2017/23,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OTC6K7RD0HE00,,,
,,2017-10-17,-1.316745,51.404896,,1.3,2017-10-17,160,160,160,"Mixed use redevelopment comprising approximately 26,554sqm (gross external) of floor space providing offices (B1), retail (A1), Financial and Professional Services (A2), hotel (C1), restaurant (A3), hot food takeaways (A5) motor dealership and residential apartments (160 units including 48 affordable) together with 330 car parking spaces, new junction on to A339, site access and ancillary development",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,owned by a public authority,2016-02-01,outline planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=M2F4YVRD0EA00,permissioned,"Land off Faraday Road and Kelvin Road, Newbury",BR/2017/24,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M2F4YVRD0EA00,,,
yes,,2017-10-17,-1.314909,51.398851,,0.96,2017-10-17,167,167,167,"Demolition of existing buildings and structures, site remediation and the erection of 167 apartments, a new link road, car parking and landscaping",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-03-31,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NJYMYWRD04Z00,permissioned,"Sterling Industrial Estate, Kings Road, Newbury",BR/2017/25,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJYMYWRD04Z00,,,
yes,,2017-10-17,-1.30703,51.397007,,,2017-10-17,708,708,708,"Approval of reserved matters following outline permission 09/00971/OUTMAJ. Construction of 708 dwellings, retail/community facilities, coach park, temporary marketing suite and associated works (Reserved matters) for area A Eastern development area. Matters seeking consent: appearance, landscaping, layout and scale",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-07-28,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NHEJ02RD0EF00,permissioned,"Newbury Racecourse Plc East, Newbury ",BR/2017/26,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHEJ02RD0EF00,,,
yes,,2017-10-17,-1.30703,51.397007,,,2017-10-17,,,,Demolition and construction of 366 dwellings with associated access and amenities (Reserved Matters) for Area 'B' - Central area of outline planning permission reference 09/00971/OUTMAJ,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2011-11-17,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LNSVWMRD02K00,permissioned,"Newbury Racecourse Plc Central, Newbury",BR/2017/27,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LNSVWMRD02K00,,,
yes,,2017-10-17,-1.32337,51.398226,,2.16,2017-10-17,226,226,226,"Erection of 232 dwellings with associated car parking, residents' hub and management office",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,mixed ownership,2017-04-11,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O3NY9PRD0JA00,permissioned,"Market Street Redevelopment, Newbury",BR/2017/28,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3NY9PRD0JA00,,,
,,2017-10-17,-1.324645,51.406299,,0.3,2017-10-17,,,,http://info.westberks.gov.uk/shlaa | http://info.westberks.gov.uk/hsa. http://info.westberks.gov.uk/shlaa | http://info.westberks.gov.uk/hsa,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,owned by a public authority,,,,not permissioned,"London Road Industrial Estate, Newbury",BR/2017/29,http://info.westberks.gov.uk/CHttpHandler.ashx?id=36401&p=0,,,
yes,,2017-10-17,-1.125998,51.409339,,0.42,2017-10-17,18,18,18,Approval of matters reserved following outline permission 15/02320/OUTMAJ- for the erection of 18 dwellings together with means of access from Bath Road,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-08-11,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OIYCLVRD0IP00,permissioned,"Land adjacent to Bath Road known as Elliott Hire, Padworth",BR/2017/30,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIYCLVRD0IP00,,,
yes,,2017-10-17,-1.081581,51.483433,,0.13,2017-10-17,8,8,8,"4 no. new-build flats as an extension to existing apartments that are to be refurbished, and works to improve an existing office to provide 4 no.apartments together with associated works including laying out of parking, gardens and amenities",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2016-07-29,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NXAPNARD0E700,permissioned,"67A Reading Road, Pangbourne, Reading",BR/2017/31,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXAPNARD0E700,,,
,,2017-10-17,-1.06004,51.482534,,1.47,2019-01-08,35,35,35,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0. http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,,,,not permissioned,"72 Purley Rise, Purley on Thames",BR/2017/32,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,,,
yes,,2017-10-17,-1.374667,51.41439,,0.13,2017-10-17,9,9,9,"Proposed erection of ground and first floor side and rear extension: conversion of the extended premises to nine apartments (four with one bedroom, five with two bedrooms) following removal of the rear emergency staircase and first floor privacy screen",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2013-03-13,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OD6DM7RD0JH00,permissioned,"Lord Lyon, Stockcross, Newbury",BR/2017/33,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD6DM7RD0JH00,,,
yes,,2017-10-17,-1.257123,51.403247,,0.05,2017-10-17,9,9,9,"Conversion of No. 58 The Broadway to three flats (retention of shop at ground floor), demolition and re-building of rear element. Four new build terraced houses and two flats on land to the rear. Nine new dwellings in total",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2014-04-29,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MV88STRD02N00,permissioned,"58 The Broadway, Thatcham",BR/2017/34,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MV88STRD02N00,,,
yes,,2017-10-17,-1.25717,51.403913,,0.07,2019-01-08,10,10,10,"Application for variation of condition of 06/02314/FULMAJ - Demolition of existing building comprising of 1 no. two bedroom flat, offices and a industrial unit. Construction of 6 no. two bedroom flats, 5 no. one bedroom flats and a bike store",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-05-24,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OIMT2ORD0K500,permissioned,"1 The Broadway, Thatcham",BR/2017/35,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIMT2ORD0K500,,,
,,2017-10-17,-1.255835,51.402007,,0.1,2017-10-17,13,13,13,"Approval of reserved matters from permission 05/02916/OUTMAJ, for the erection of 13no. apartments comprising 2no. 2-bed apartments and 11no. 1-bed apartments",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2007-07-23,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JGDKT1RDG4000,permissioned,"Turnfields land rear of Regent, The Moors, Thatcham",BR/2017/36,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JGDKT1RDG4000,,,
yes,,2017-10-17,-1.276783,51.405492,,0.2,2019-01-07,30,30,30,Approval of reserved matters following Outline Permission 15/02077/OUTMAJ [Development of 26 apartments and 7 houses],West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2017-03-24,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OKY43LRD0KD00,permissioned,"131, 133, 137, 139 & 141 Bath Road, Thatcham",BR/2017/37,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSX6JTRD09N00,,,
,,2017-10-17,-1.255983,51.402655,,2.1,2017-10-17,46,46,46,Application to renew planning permission 07/00565/OUTMAJ - Outline application for the redevelopment of the Kingsland Shopping Centre and adjoining land,West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2015-03-26,outline planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=L20E7IRD09N00,permissioned,"Kingsland Shopping Centre And Adjoining Land, Thatcham",BR/2017/39,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L20E7IRD09N00,,,
yes,,2017-10-17,-1.282,51.402854,,0.88,2017-10-17,47,47,47,"Demolition of existing facilities, and the erection of 47 new dwellings, including internal access road",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,owned by a public authority,2017-07-21,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O0683QRD0HD00,permissioned,"Former deport at Pound Lane, Thatcham",BR/2017/40,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O0683QRD0HD00,,,
yes,,2017-10-17,-1.078174,51.436667,,0.08,2017-10-17,8,8,8,"Change of use from Public House to residential use, demolition of the former skittle alley and outbuildings replaced with a new two storey side extension comprising of an additional 8 dwellings",West Berkshire District Council,http://opendatacommunities.org/id/unitary-authority/west-berkshire,not owned by a public authority,2016-06-21,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5BJ4CRD01V00,permissioned,"The Red Lion, 5 Church Street, Theale, Reading",BR/2017/41,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5BJ4CRD01V00,,,
