Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-22,-4.182629,50.659297,,1.51,2021-01-13,11,11,11,2844/15/FUL & 1199/18/OPA,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,2017-11-14,full planning permission,,permissioned,"Jethro's Motel, Lewdown, EX20 4DS",WD_32_11_13,https://goo.gl/maps/mooj8TDEwNW9Lyk6A,,,
yes,,2017-12-22,-3.906781,50.798621,,1.55,2021-01-13,62,62,62,01990/2011,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,2015-04-15,Lapsed,,permissioned,"H10 Woollen Mill, North Tawton",WD_13_12_13,https://goo.gl/maps/GuMzXFnMr2g1Q1np6,,,
yes,,2017-12-22,-4.022415,50.765222,,0.21,2021-01-13,8,8,8,4147/17/FUL & 0246/19/FUL & 2401/19/ARC & 3382/19/ARC,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,2019-07-16,full planning permission,,permissioned,"Folly Gate Garage, Folly Gate, Okehampton, Devon, EX20 3AH",00682/2014,https://goo.gl/maps/BK6EbSqWH1Te6s7k8,,,
yes,,2017-12-22,-4.074911,50.821203,,4.93,2021-01-13,106,106,106,1794/18/FUL & 3068/19/ARC & 3266/19/ARC & 3301/19/ARC & 3698/19/ARC & 0398/20/ARC & 1655/20/ARC & 3299/20/ARC,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,2019-09-17,full planning permission,,permissioned,Hatherleigh Market,OP13,https://goo.gl/maps/fjXCkAiVAqdZb8zL9,,,
