Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-31,-1.785588,51.562884,,5.09,2020-12-23,,0,0,s0111 - S/OUT/14/2059 | Application withdrawn 15/05/2018,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Thornhill Industrial Estate,s0111,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2017-12-31,-1.782885,51.562069,,0.08,2020-12-23,,5,5,s0113 - s0113 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Site of disused retail units on Devizes Road,s0113,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2017-12-31,-1.782989,51.561682,,0.11,2020-12-23,,5,5,s0115 - S/99/2654 | Erection of 3no. four-bedroom houses with double garages (Outline). Application refused 04/04/2000,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Sites of garages on Perrys Lane,s0115,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.787929,51.564088,,0.18,2020-12-23,,12,12,s0120 - S/17/0144 | Change of use of second floor to Residential (Class C3) to provide 12 no. flats with external alterations.Ref. : S/17/0144Decision Issued Date: 28/06/2017,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-06-28,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,permissioned,Second Floor Fleetway House 55 - 58 Fleet Street Swindon,s0120,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,,,
,,2018-12-31,-1.786559,51.56595,,0.08,2020-12-23,,16,16,s0122 - s0122 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,"39-45 Fleet Street, Swindon",s0122,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.78102,51.560219,,0.85,2020-12-23,,90,90,s0125 - S/PRIORC/18/1013 | Prior notification application for the change of use from office (Class B1a) to 90no. apartments (Class C3).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-07-26,other,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,permissioned,"Falcon House, Fleming Way Car Park, Debenhams and 17 The Parade",s0125,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,,,
yes,2020-12-23,2018-12-31,-1.786966,51.559281,,0.14,2020-12-23,,12,12,s0126 - S/17/1109 | Erection of a roof extension to create 2 additional floors containing 12no. flats.Ref. : S/PRIORC/17/0003Decision Issued Date: 21/02/2017Erection of a roof extension to create 2 additional floors containing 12 no. flats. Application is ongoing. Ref. : S/17/1109Decision Issued Date: Pending,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-11-23,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSCXADPTG5Q00,permissioned,One Sanford Street,s0126,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSCXADPTG5Q00,,,
,,2018-12-31,-1.785977,51.565051,,1.84,2020-12-23,,160,160,s0128 - s0128 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Swindon Station Car Park (South),s0128,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.772942,51.551092,,0.52,2020-12-23,,52,52,s0129 - s0129 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Swindon Station Car Park (North),s0129,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.784969,51.562757,,0.34,2020-12-23,,17,17,s0132 - s0132 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Princes Street Car Park,s0132,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.781744,51.560406,,0.05,2020-12-23,,10,10,s0133 - s0133 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Commercial Road Car Park,s0133,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.78147,51.559569,,0.43,2020-12-23,,,,s0140 - S/18/1474 | Change of use of part of ground and first floors from B1(a) (Business) to A3 (Cafe/Restaurant).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-11-20,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEC1UAPTIF300,permissioned,Signal Point,s0140,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEC1UAPTIF300,,,
yes,,2018-12-31,-1.790782,51.562985,,0.46,2020-12-23,,115,115,"s0142 - S/07/2805 | Redevelopment including the partial demolition, change of use and restoration of The Locarno and Old Town Hall buildings, the erection of extensions and new buildings, plus the provision of 3 no. units for mixed Class A3/ Class A4 use, outdoor seating areas in association with those uses, Registry of Births, Deaths and Marriages (Class B1), 115 no. apartments, car parking, access and landscaping works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2008-09-08,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=JS3UTTPT04V00,permissioned,"Locarno, Dammas Lane Car Park and The Planks Car Park",s0142,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=JS3UTTPT04V00,,,
,,2018-12-31,-1.77708,51.553079,,0.18,2020-12-23,,36,36,s0146 - s0146 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,The Parade Multistorey Car Park,s0146,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.776215,51.553607,,0.19,2020-12-23,,38,38,s0147 - S/DEM/15/0737 | Prior Notification for the proposed demolition of multi-storey car park. Prior Approval required and given 04/06/2015Ref. : S/DEM/15/0737Decision Issued Date: 04/06/2015,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Former Wyvern Multistorey Car Park,s0147,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.775528,51.553553,,0.33,2020-12-23,,46,46,s0148 - s0148 | Erection of a new roof over existing roof terrace and walkways. Permission has been granted 28/02/2014Ref. : S/SP/13/1910Decision Issued Date: 28/02/2014,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Wyvern Theatre and Car Park,s0148,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.786688,51.562849,,1.52,2020-12-23,,0,0,"s0150 - S/LBC/16/1807 | Refurbishment of the existing carriage works for use as office (Class B1) use and associated works including partial demolition, alterations and new access from London Street. Permission has been granted.Ref. : S/16/1806 & S/LBC/16/1807Decision Issued Date: 03/02/2017",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-02-03,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OEZLJJPTJJ900,permissioned,The Carriage Works,s0150,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OEZLJJPTJJ900,,,
yes,,2018-12-31,-1.78608,51.562096,,0.1,2020-12-23,,24,24,s0156 - S/19/0442 | Demolition of rear ground floor office space and erection of five storey extension and third floor extension to existing building to provide an additional 24no. apartments,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-10-24,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=POEMNDPTMYK00,permissioned,Swindon Advertiser Offices,s0156,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=POEMNDPTMYK00,,,
yes,,2018-12-31,-1.780953,51.559364,,0.07,2020-12-23,,19,19,"s0157 - S/06/2316 | Demolition of existing garages and print works and the erection of new building to facilitate the provision of 19 no. apartments (Class C3) with vehicular access, car parking, cycle parking, landscaping and associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2007-05-17,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=J5MSE8PTE9000,permissioned,"Land South of Church Road, Old Town",s0157,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=J5MSE8PTE9000,,,
yes,,2018-12-31,-1.714859,51.63348,,0.12,2020-12-23,,12,12,"s0158 - S/18/0447 | Demolition of existing workshops and erection of 10no. dwellings, conversion of existing store to provide 2no. dwellings",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-11-26,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5KUAUPT0EE00,permissioned,"Pope Bros Builders Yard, Cricklade Street",s0158,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5KUAUPT0EE00,,,
yes,,2018-12-31,-1.779918,51.582454,,0.05,2020-12-23,,10,10,s0168 - s0168 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,20 Fleet Street,s0168,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.78206,51.590188,,0.03,2020-12-23,,6,6,s0170 - s0170 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,32-34 Bridge Street,s0170,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.77729,51.595747,,0.41,2020-12-23,,21,21,s0171 - s0171 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Theatre Square,s0171,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.805642,51.577173,,0.97,2020-12-23,,36,36,s0183 - s0183 | Change of use from a Class A1 Retail to Class D1 Clinic. Variation of condition 3 from previous. Permission has been granted permission S/13/0025 regarding opening hours).Ref. : S/14/1956Decision Issued Date: 07/01/2015Application for the erection of a single storey side extension. Permission has been granted.Ref. : S/16/0076Decision Issued Date: 18/03/2016,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,"Land to the east of Newburgh Place, in front of Tesco Express",s0183,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.806867,51.580833,,0.5,2020-12-23,,19,19,s0191 - s0191 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Land at Pinehurst Road inside 'The Circle',s0191,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.78152,51.59731,,0.19,2020-12-23,,7,7,s0204 - s0204 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,In front of 68 Oaksey Road,s0204,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.730629,51.548034,,1.7,2020-12-23,,0,0,s0239 - s0239 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Groundwell Park and Ride,s0239,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.782509,51.538807,,3.3,2020-12-23,,124,124,s0245 - s0245 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Manor Garden Centre and surrounding,s0245,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.807993,51.570172,,0.2,2020-12-23,,8,8,s0246 - s0246 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Garage block east of Greenhill Road,s0246,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.782501,51.602264,,0.23,2020-12-23,,9,9,s0264 - s0264 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Garages at Wingfield Ave,s0264,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.8007,51.570475,,1.58,2020-12-23,,79,79,s0276 - s0276 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Liden Local Centre,s0276,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.821724,51.553401,,5.27,2020-12-23,,0,0,s0297 - s0297 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Pipers Way Park and Ride,s0297,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.809628,51.577417,,0.75,2020-12-23,,0,0,"s0298 - s0298 | Erection of 4 no. (Class A1) non-food retail units. (ref S/08/0478) granted 18 Jul 2008, now lapsed.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Barnfield Road,s0298,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.767875,51.585492,,2.33,2020-12-23,,0,0,"S0308 - S/16/0505 | Erection of new retail facilities and provision of associated car parking, creation of a new vehicular and pedestrian accesses, a freestanding ATM, hard and soft landscaping and associated plant.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-10-18,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O4A3PVPTHAF00,permissioned,Northern Gateway,S0308,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O4A3PVPTHAF00,,,
yes,,2018-12-31,-1.765075,51.576361,,0.33,2020-12-23,,0,0,S0311 - S/16/0977 | Erection of an ATM. (Retrospective).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-07-21,other,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O81LH7PTHTB00,permissioned,"Petrol Filling Station, Rodbourne Road",S0311,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O81LH7PTHTB00,,,
,,2018-12-31,-1.786833,51.562033,,1.42,2020-12-23,,71,71,S0313 - S0313 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Toothill Village Centre,S0313,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.738608,51.602284,,2.66,2020-12-23,,60,60,S0314 - S0314 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Moredon Rec,S0314,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.770337,51.543159,,0.3,2020-12-23,,11,11,S0315 - S0315 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Stratton Education Centre,S0315,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.778972,51.557514,,0.39,2020-12-23,,,,S0318 - S/13/1537 | Outline application for the erection of buildings for B1(c) (Business - Light Industry) and/or B2 (General Industry) and/or B8 (Storage or Distribution) uses.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2014-07-04,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MUV555PT0FL00,permissioned,"Contract House, Unit 5 Bramble Road Elgin Swindon SN2 8HB",S0318,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MUV555PT0FL00,,,
yes,,2017-12-31,-1.7892,51.55953,,0.03,2020-12-23,,6,6,"S0319 - S0319 | Retention of retail use on ground floor, change of use of 1st. & 2nd. floor from retail (Class A1) to 6 no. dwellings (Class C3), erection of 1st & 2nd floor rear extensions and associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2014-07-21,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MWO7F1PT0IN00,permissioned,"54 -55 Bridge Street, Swindon, SN1 1BL",S0319,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MWO7F1PT0IN00,,,
yes,,2018-12-31,-1.76055,51.571699,,0.53,2020-12-23,,10,10,S0322 - S/14/1283 | Erection of 10no. two storey industrial units and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-04-01,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N9GTM0PT04V00,permissioned,"Unit 4 Hunts Rise, Swindon SN3 4TW",S0322,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N9GTM0PT04V00,,,
yes,,2017-12-31,-1.783513,51.558814,,0.66,2020-12-23,,34,34,S0326 - S/14/2137 | Demolition of existing energy centre and erection of a mixed use four storey building with a convenience retail store (Class A1) on the ground floor with 18no. apartments above and 16no. houses and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-12-03,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NGVIFNPT97000,permissioned,"Wakefield House, Pipers Way, Old Town Swindon SN3 1RE",S0326,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NGVIFNPT97000,,,
yes,,2017-12-31,-1.72926,51.541561,,0.04,2020-12-23,,6,6,"S0327 - S/15/0042 | Erection of a 4 storey building to provide 147sqm of retail floor space on the ground floor, 6 no. apartments on the floors above",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-03-04,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NI9IC7PT97000,permissioned,"22-23 Victoria Road, Old Town, Swindon SN1 3AW",S0327,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NI9IC7PT97000,,,
yes,,2017-12-31,-1.799906,51.569958,,0.03,2020-12-23,,10,10,S0328 - S/15/0133 | Change of use from working man's club (Class D2) to residential (Class C3) to provide 10no. self contained apartments,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-04-02,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NIXYXXPT97000,permissioned,"Former Milton Road Club, 25 Milton Road, Swindon SN1 5JA",S0328,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NIXYXXPT97000,,,
yes,,2017-12-31,-1.780467,51.606184,,1.27,2020-12-23,,61,61,S0329 - S/OUT/15/0377 | Outline application for the erection of up to 61no. dwellings (means of access not reserved).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-08-19,outline planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKU3OYPT97000,permissioned,"Former Bampton Brothers, Stratton Road, Swindon",S0329,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKU3OYPT97000,,,
yes,,2017-12-31,-1.753916,51.575334,,0.01,2020-12-23,,14,14,S0330 - S/PRIORC/15/0748 | Prior Approval Notification for the change of use of 1st & 2nd floors from offices (Class B1) to 14no. apartments (Class C3) Prior Approval not required,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-08-26,permission in principle,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NNYZKTPT97000,permissioned,"Anglia House, 115-118 Commercial Road, Swindon",S0330,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NNYZKTPT97000,,,
yes,2020-12-23,2017-12-31,-1.750887,51.568255,,0.12,2020-12-23,,5,5,S0332 - S/15/0937 | Change of use from Guest House to 5 no. Flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2015-09-21,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NPO9LZPT0EE00,permissioned,"Kingsbridge House, Marlborough Road, Swindon",S0332,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NPO9LZPT0EE00,,,
yes,,2017-12-31,-1.787394,51.563646,,0.11,2020-12-23,,6,6,S0337 - S/15/1342 | Erection of 6no. flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-01-17,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSYM9ZPT97000,permissioned,"16 Wembley Street, Rodbourne, Swindon SN2 1DN",S0337,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSYM9ZPT97000,,,
yes,,2017-12-31,-1.786833,51.526238,,0.49,2020-12-23,,5,5,"S0338 - S/15/1352 | Demolition of existing warehouse and outbuildings, and erection of 5 no. residential dwellings",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-03-21,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NT0V85PT97000,permissioned,"Lindseys Yard, Turnpike Road, Blunsdon, Swindon SN26 7AE",S0338,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NT0V85PT97000,,,
yes,,2017-12-31,-1.783513,51.558814,,0.16,2020-12-23,,6,6,"S0341 - S/16/1126 | Demolition of existing dwelling and erection of 6no. apartments and associated works, without compliance with conditions 3 - 10 from previous permission S/15/1839.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-08-16,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O9A1IHPTI5200,permissioned,"Land Adjacent To New Inn, Swindon Road, Stratton St Margaret, Swindon SN3 4PN",S0341,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O9A1IHPTI5200,,,
yes,,2017-12-31,-1.758157,51.581743,,2.93,2020-12-23,,134,134,S0343 - S/OUT/15/2087 | Outline planning application for up to 134no. residential dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-02-07,outline planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZI9O2PTFUR00,permissioned,"WH Smith HQ, Greenbridge Road, Stratton St Margaret, Swindon",S0343,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZI9O2PTFUR00,,,
yes,,2017-12-31,-1.786995,51.562717,,0.01,2020-12-23,,58,58,S0344 - S/PRIORC/16/0015 | Prior Approval Notification for the change of use of ground floor and first to fourth floors from offices (class B1(a)) to residential use (class C3) (58no. flats),,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-02-23,permission in principle,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O0HAO3PT0IN00,permissioned,"Holbrook House, Sheppard Street, Swindon",S0344,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O0HAO3PT0IN00,,,
yes,2020-12-23,2017-12-31,-1.76652,51.584777,,0.46,2020-12-23,,38,38,S0348 - S/16/0487 | Demolition of buildings on site and the construction of 38 no. residential units of Retirement Living accommodation,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-11-29,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O44JR4PTH9L00,permissioned,"The Ivy Hotel, Moormead Road, Wroughton, Swindon SN4 9BY",S0348,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O44JR4PTH9L00,,,
yes,,2017-12-31,-1.786784,51.605624,,0.06,2020-12-23,,5,5,S0350 - S/16/0960 | Erection of an additional storey to provide 5no. flats and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-09-20,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O7RYB3PTHSE00,permissioned,"Anglia House, 115-118 Commercial Road, Swindon SN1 5PL",S0350,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O7RYB3PTHSE00,,,
yes,,2018-12-31,-1.787313,51.601806,,2.2,2020-12-23,,,,"S0352 - S/16/0990 | Erection of an industrial/warehouse unit (class B1(a), B2 and B8) with associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-09-05,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8507LPT04V00,permissioned,"Land At Radway Road, Stratton St Margaret, Swindon SN3 4ND",S0352,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8507LPT04V00,,,
yes,,2017-12-31,-1.768977,51.584301,,0.07,2020-12-23,,14,14,"S0358 - S/16/1679 | Demolition of 20 Bridge Street and 17 Fleet Street, erection of 4no. commercial units (Class A1 and A3) and 14no. residential apartments",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-02-03,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ODYK5WPTJ9R00,permissioned,"18 - 24 Bridge Street & 16 - 17 Fleet Street, Swindon SN1 1BP",S0358,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ODYK5WPTJ9R00,,,
yes,,2018-12-31,-1.783774,51.556066,,0.32,2020-12-23,,5,5,S0381 - S0381 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,The Limes,S0381,https://pa1.swindon.gov.uk/publicaccess/,,,
