Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2018-12-31,-1.775882,51.550054,,0.23,2020-12-23,,19,19,18HMR027 - S/18/1903 | Erection of 19no. dwellings and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-05-02,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PIN6ZVPT0FL00,permissioned,"Former Hertz Rent A Car, Hyde Road, Stratton St Margaret, Swindon",18HMR027,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PIN6ZVPT0FL00,,,
yes,,2018-12-31,-1.751255,51.574131,,2.59,2020-12-23,,69,69,18HMR029 - S/RES/18/1145 | Reserved matters to S/OUT/15/1985 - Erection of 69no. Dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-03-19,reserved matters approval,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBHKXEPTGWA00,permissioned,South Marston Hotel And Spa Old Vicarage LaneSouth Marston Swindon SN3 4SH,18HMR029,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBHKXEPTGWA00,,,
yes,2020-12-23,2018-12-31,-1.766698,51.540781,,0.02,2020-12-23,,6,6,18HMR038 - S/16/0864 | Erection of a roof extension to accommodate 2no. dwellings and erection of 2no. dwellings to the rear,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-07-07,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O72GHUPT0IN00,permissioned,"28 & 29 Newport Street, Old Town, Swindon",18HMR038,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O72GHUPT0IN00,,,
yes,,2018-12-31,-1.785682,51.529073,,0.15,2020-12-23,,8,8,18HMR045 - S/17/1478 | Demolition of care home and erection of 8 no. flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-02-08,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OVSUEUPTHN600,permissioned,"Selina House 192 Oxford Road, Stratton St Margaret, Swindon, SN3 4HA",18HMR045,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OVSUEUPTHN600,,,
yes,,2018-12-31,-1.79461,51.522344,,10.18,2020-12-23,,405,405,18HMR049 - S/11/0614 | Outline application seeking redevelopment to provide mixed-use development,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2012-05-03,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LKMDETPT0FL00,permissioned,"Union Square, Swindon",18HMR049,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LKMDETPT0FL00,,,
yes,,2018-12-31,-1.784553,51.61122,,15.3,2020-12-23,,91,91,18HMR050 - S/OUT/15/2051 | A Hybrid application for a mix of residential development to include - full details of the erection of 91no. dwellings & 74no. age-restricted retirement dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-04-10,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZ4ZRWPT0FL00,permissioned,"Land At Marlborough Park, Swindon",18HMR050,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZ4ZRWPT0FL00,,,
yes,,2019-12-31,-1.642515,51.552619,,0.19,2020-12-23,,37,37,19HMR004 - S/19/1589 | Erection of 37no. apartments and 2no. commercial units for Class B1 or Class A2 or Class D1 Use and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2020-09-25,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZU4LLPTKGF00,permissioned,"Former Garage & Land, Phillips Lane, Old Town, Swindon, SN1 4BH",19HMR004,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZU4LLPTKGF00,,,
yes,,2019-12-31,-1.734456,51.575355,,0.29,2020-12-23,,4,4,19HMR007 - S/16/1357 | Erection of 4no. detached dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-10-19,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OB9XC2PT0FL00,permissioned,"Land Adjacent To Berkley Farm House, Swindon Road, Wroughton, Swindon, SN4 9AQ",19HMR007,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OB9XC2PT0FL00,,,
yes,,2019-12-31,-1.786592,51.556795,,0.18,2020-12-23,,13,13,19HMR011 - S/17/0286 | Erection of 13no. dwellings and associated works.,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-04-05,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OLF5M6PTLAJ00,permissioned,"Former Haskins Garage, High Street, Wroughton, Swindon",19HMR011,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OLF5M6PTLAJ00,,,
yes,,2019-12-31,-1.7876,51.524801,,3,2020-12-23,,54,54,19HMR014 - S/17/0528 | Erection of 54no. Dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-03-27,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9VR9PTLVS00,permissioned,"Land At Holdcroft, Broad Bush, Blunsdon, Swindon",19HMR014,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9VR9PTLVS00,,,
