Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-09-27,,,,0.49,2017-11-30,6,6,6,"Reserved matters received 13 November 2017 pursuant to outline planning permission 15/P/02267, granted on appeal on 16/08/2016.. Demolition of existing buildings and erection of six dwellings all matters reserved except access (amended plans received on 28/01/2016).",Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2016-10-02,outline planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_166538,permissioned,"107 Poyle Road, Tongham, Farnham, GU10 1DY",BFLR2017_001,https://www.guildford.gov.uk/media/26677/107-Poyle-Road-Tongham-Farnham-GU10-1DY/pdf/BFLR2017_001,,,
yes,,2017-09-27,,,,0.26,2017-09-27,6,6,6,Application ref. 16/P/02133. Erection of 9 dwellings following the demolition of Foreman Manor,Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2016-01-27,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_173966,permissioned,"Foreman Manor, Foreman Road, Ash, Guildford, GU12 6HE",BFLR2017_002,https://www.guildford.gov.uk/media/26678/Foreman-Manor-Foreman-Road-Ash-Guildford-GU12-6HE/pdf/BFLR2017_002,,,
yes,,2017-09-27,,,,2.15,2017-09-27,160,160,160,"Application ref. 16/P/01290. Demolition of existing garage buildings and redevelopment of the site to provide 160 residential apartments and houses (Use Class C3) with new infrastructure, parking, access, landscaping, cycle storage and associated facilities including private and communal amenity space together with a five storey 541 space multi-storey public car park (Sui Generis) and 825 sqm. (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park",Guildford,http://opendatacommunities.org/id/district-council/guildford,owned by a public authority,2017-01-23,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_171221,permissioned,"Land at Guildford Park Road Surface Car Park, Guildford GU2 7NF",BFLR2017_003,https://www.guildford.gov.uk/media/26679/Land-at-Guildford-Park-Road-Surface-Car-Park-Guildford-GU2-7NF/pdf/BFLR2017_003,,,
yes,,2017-09-27,,,,1.08,2017-09-27,20,20,20,"Application ref. 14/P/01637. Erection of a residential development comprising 21 dwellings (4 x 2 bed, 5 x 3 bed, 7 x 4 bed and 5 x 5 bed units) with associated access, parking and landscaping, following demolition of existing dwelling",Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2015-11-09,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_155038,permissioned,"Land at, 109 South Lane, Ash, Guildford, GU12 6NL",BFLR2017_004,https://www.guildford.gov.uk/media/26680/Land-at-109-South-Lane-Ash-Guildford-GU12-6NL/pdf/BFLR2017_004,,,
yes,,2017-09-27,,,,0.31,2017-09-27,9,9,9,"Application ref. 16/P/01913. Erection of 9 dwellings with associated access garages, carports and parking",Guildford,http://opendatacommunities.org/id/district-council/guildford,mixed ownership,2016-11-30,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_173208,permissioned,"Land to the rear of 57, Manor Road, Tongham, GU10 1BA",BFLR2017_005,https://www.guildford.gov.uk/media/26681/Land-to-the-rear-of-57-Manor-Road-Tongham-GU10-1BA/pdf/BFLR2017_005,,,
yes,,2017-09-27,,,,0.4,2017-09-27,18,18,18,"Application ref. 16/P/00802. Erection of 1 x 2 storey block of ten apartments (4 x 2 bed & 6 x 1 bed) and 1 x 3 storey block of eight apartments (3 x 1 bed & 5 x 2 bed) together with associated car parking, recycling area, cycle store and new landscaping",Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2017-03-08,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_169682,permissioned,"The Apple Tree, Southway, Guildford, GU2 8DT",BFLR2017_006,https://www.guildford.gov.uk/media/26682/The-Apple-Tree-Southway-Guildford-GU2-8DT/pdf/BFLR2017_006,,,
yes,,2017-09-27,,,,0.28,2017-09-27,1,1,1,"Application ref. 17/P/00051. Increase in ridge height to enable the addition of a two bedroom second floor flat. New external access stairs and door, dormer window and six rooflights to side elevations and Juliette balcony to rear (description amended 13/01/2017).",Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2017-04-05,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_175672,permissioned,"The Flat, Dental Care, 26 Farnham Road, Guildford, GU2 4JN",BFLR2017_007,https://www.guildford.gov.uk/media/26683/The-Flat-Dental-Care-26-Farnham-Road-Guildford-GU2-4JN/pdf/BFLR2017_007,,,
yes,,2017-09-27,,,,0.38,2017-09-27,56,56,56,Application ref. 16/P/00752. Demolition of existing building and redevelopment of the site to provide two four storey buildings comprising 56 residential units including affordable housing (Use Class C3) together with associated car parking and landscaping works,Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2016-11-11,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_169515,permissioned,"Wey Corner, Walnut Tree Close, Guildford, GU1 4TT",BFLR2017_008,https://www.guildford.gov.uk/media/26684/Wey-Corner-Walnut-Tree-Close-Guildford-GU1-4TT/pdf/BFLR2017_008,,,
yes,,2017-09-27,,,,0.95,2017-09-27,1,1,1,"Application ref. 16/P/01401. Proposed two x two storey detached dwellings with rooms in loft and detached garages and associated access works, following demolition of existing property",Guildford,http://opendatacommunities.org/id/district-council/guildford,owned by a public authority,2016-11-17,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_171530,permissioned,"Windyridge, 46 Pewley Hill, Guildford, GU1 3SP",BFLR2017_009,https://www.guildford.gov.uk/media/26685/Windyridge-46-Pewley-Hill-Guildford-GU1-3SP/pdf/BFLR2017_009,,,
yes,,2017-09-27,,,,0.02,2017-09-27,6,6,6,"Application ref. 15/P/01266 . Conversion of existing upper floor storage areas to six (3x1 bed, 3x2 bed) self contained flats.",Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2015-10-29,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_162794,permissioned,"17-23 Market Street, Guildford",BFLR2017_010,https://www.guildford.gov.uk/media/26686/17-23-Market-Street-Guildford/pdf/BFLR2017_010,,,
yes,,2017-09-27,,,,0.14,2017-09-27,6,6,6,Application ref. 14/P/00979 . Erection of three pairs of semi-detached two storey houses with front and rear gardens and associated access and parking,Guildford,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2014-12-05,full planning permission,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_152705,permissioned,"Great Goodwin Drive Garages, Great Goodwin Drive, Guildford",BFLR2017_011,https://www.guildford.gov.uk/media/26687/Great-Goodwin-Drive-Garages-Great-Goodwin-Drive-Guildford/pdf/BFLR2017_011,,,
