Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-12,0.256845,52.222905,,0.11,2017-12-12,9,9,9,Redevelopment of former police station Construction of 9No. Flats with offstreet parking and new access road off Bell Road,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,2017-03-09,full planning permission,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFM1FRGGKPB00,permissioned,,"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",https://www.eastcambs.gov.uk/sites/default/files/Site_02_08.pdf,Site/02/08
yes,,2017-12-12,,,,3.06,2017-12-12,70,70,70,Approval of details for all reserved matters for the housing element ( plots 1-70) of planning application 14/00046/OUM,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2015-11-10,reserved matters approval,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NWOI9ZGGFM100&activeTab=summary,permissioned,,Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,https://www.eastcambs.gov.uk/sites/default/files/Site_05_06.pdf,Site/05/06
yes,,2017-12-12,0.462439,52.21174,,0.51,2017-12-12,7,7,7,Residential development of site formerly Everitt & Gough 2 Oak Lane Cheveley Newmarket Suffolk,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2016-09-14,outline planning permission,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O1JVLLGGIUA00,permissioned,,"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",https://www.eastcambs.gov.uk/sites/default/files/Site_06_05.pdf,Site/06/05
yes,,2017-12-12,,,,0.61,2017-12-12,10,10,10,The site is allocated by the Local Plan for mixed-use development.,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,,,,not permissioned,,"The Grange, Nutholt Lane, Ely CB7 4EE",https://www.eastcambs.gov.uk/sites/default/files/Site_10_11.pdf,Site/10/11
yes,,2017-12-12,,,,1,2017-12-12,50,50,50,The site is allocated by the Local Plan for mixed-use development.,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,,,,not permissioned,,"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",https://www.eastcambs.gov.uk/sites/default/files/Site_10_12.pdf,Site/10/12
yes,,2017-12-12,,,,11.41,2017-12-12,100,100,100,The site is allocated by the Local Plan for mixed-use development.,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,,,,not permissioned,,"Station Gateway, Angel Drove, Ely",https://www.eastcambs.gov.uk/sites/default/files/Site_10_19.pdf,Site/10/19
yes,,2017-12-12,,,,4.03,2017-12-12,77,77,77,The Proposed Submission Local Plan identifies the site for mixed-use development.,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,,,,not permissioned,,"Princess of Wales Hospital, Lynn Road, Ely CB6 1DN",https://www.eastcambs.gov.uk/sites/default/files/Site_10_28.pdf,Site/10/28
yes,,2017-12-12,,,,0.19,2017-12-12,11,11,11,"Residential development for 11 dwellings, with minor alterations to the existing vehicular and pedestrian access.",East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,2016-12-28,reserved matters approval,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NXYI08GGGGP00&activeTab=summary,permissioned,,Land At Barton Road Car Park Barton Road Ely Cambridgeshire,https://www.eastcambs.gov.uk/sites/default/files/Site_10_31.pdf,Site/10/31
yes,,2017-12-12,,,,0.71,2017-12-12,58,58,58,"Demolition of existing buildings and erection of assisted living accomodation for the elderly including provision of communal facilities, car parking and landscaping",East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2015-08-28,reserved matters approval,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NOEB8WGGHQ200&activeTab=summary,permissioned,,"Lisle Lane, Ely, Cambridgeshire, CB7 4FA",https://www.eastcambs.gov.uk/sites/default/files/Site_10_32.pdf,Site/10/32
yes,,2017-12-12,0.266795,52.398304,,0.1,2017-12-12,7,7,7,Refurbishment and partial demolition of existing building to provide six residential townhouses and one residential flat over retained commercial unit.,East Cambridgeshire District Council,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2016-06-10,full planning permission,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O289UXGGJBL00,permissioned,,"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",https://www.eastcambs.gov.uk/sites/default/files/Site_10_33.pdf,Site/10/33
