Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
,,2016-09-06,-2.701826,53.78008,,5.33,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2007-09-03,reserved matters approval,,permissioned,Preston.,BR01,,,
,,2016-09-06,-2.748499,53.77879,,8.42,2018-11-13,93,93,93,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2018-02-15,reserved matters approval,,permissioned,Former Cottam Brickworks,BR04,,,
,,2016-09-06,-2.696637,53.75721,,0.6,2018-11-13,15,15,15,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2007-08-30,outline planning permission,,permissioned,Avenham Street Car Park,BR06,,,
,,2016-09-06,-2.703164,53.7557,,0.06,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,,,,not permissioned,Mount Street / Garden Street,BR08,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Former St Joseph's Orphanage, Theatre",,,,
,,2016-09-06,-2.704228,53.75672,,,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,,2004-12-22,full planning permission,,permissioned,Street,BR09,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,full planning permission,,,,,,,
yes,,2016-09-06,-2.702766,53.7555,,,2018-11-13,29,29,29,,,http://opendatacommunities.org/id/district-council/preston,,2018-08-30,under an order,,permissioned,"Lancashire House, Winckley Square.",BR10,,,
,,2016-09-06,-2.721206,53.75974,,,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,"Alstom site, Channel Way",BR15,,,
,,2016-09-06,-2.713846,53.7658,,,2018-11-13,95,95,95,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,"Goss Graphics, Fylde Road.",BR16,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,,,,,
,,2016-09-06,-2.721496,53.76606,,,2018-11-13,12,12,12,,,http://opendatacommunities.org/id/district-council/preston,,2014-01-13,outline planning permission,,permissioned,Land at Ashton Basin,BR17,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Former Byron Hotel, 25-35 Grimshaw",,,,
,,2016-09-06,-2.692242,53.75929,,,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,,2006-12-11,full planning permission,,permissioned,Street.,BR18,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,,,,,
,,2016-09-06,-2.698086,53.75863,,0.2,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2015-04-30,full planning permission,,permissioned,"Miller Arcade, Church Street",BR19,,,
,,2016-09-06,-2.700183,53.7543,,0.07,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2004-08-11,,,permissioned,6&7 Ribblesdale Place,BR20,,,
,,2016-09-06,-2.699702,53.75729,,0.02,2018-11-13,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2017-04-04,full planning permission,,permissioned,37/38 Cannon Street,BR21,,,
,,2016-09-06,-2.700259,53.75979,,0.06,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2018-04-17,full planning permission,,permissioned,5-13 Market Street,BR22,,,
,,2016-09-06,-2.685136,53.76159,,0.33,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2008-12-11,full planning permission,,permissioned,"Hemmings Mill, New Hall Lane",BR23,,,
,,2016-09-06,-2.721194,53.76875,,1.3,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,Parker Street,BR25,,,
,,2016-09-06,-2.755092,53.76986,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,Former Ainsdale House Site,BR26,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Brethren's Meeting Room, Egerton Road,",,,,
,,2016-09-06,-2.739178,53.76567,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,Ashton.,BR27,,,
,,2016-09-06,-2.707321,53.7585,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,"Railway land, Corporation Street",BR28,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,,,,,
