Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
yes,,,-3.53389,50.72131,,0.07,2019-12-14,13,13,13,"Planning consent has been implemented, but work is on hold.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2011-09-22,,,permissioned,"102-104 Fore Street (1st, 2nd and 3rd floors only)",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.53519,50.72009,,0.03,2019-12-14,13,13,13,"Planning consent has been implemented, but work is on hold.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2013-02-14,,,permissioned,"130 Fore Street (1st, upper 1st, 2nd and 3rd floors only)",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.47811,50.72162,,0.08,2019-12-14,24,24,24,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2017-04-21,,,permissioned,"1-6 North Street, 182-183, 185 and 186 Fore Street (1st, 2nd, 3rd, 4th and 5th floors only)",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52812,50.72697,,0.15,2019-12-14,13,13,13,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2017-11-21,,,pending decision,"The Courtyard, 48 New North Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52338,50.71616,,3.58,2019-12-14,146,146,146,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-06-28,,,permissioned,"Exeter Royal Academy for Deaf Education, Topsham Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.55459,50.7299,,1.25,2019-12-14,,,,,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,2019-01-07,,,pending decision,"Former Exwick Middle School, Higher Exwick Hill",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.5524,50.72813,,0.8,2019-12-14,,,,,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,2019-01-07,,,pending decision,"Former Foxhayes Infant School, Gloucester Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.4888,50.72504,,0.34,2019-12-14,9,9,9,,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,2018-10-03,,,permissioned,Land r/o 94-106 Thornpark Rise,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.53341,50.72282,,0.04,2019-12-14,8,8,8,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2015-10-15,,,permissioned,"9a North Street (1st, 2nd and 3rd floors only)",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52442,50.72713,,0.08,2019-12-14,27,27,27,,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,2017-10-04,,,permissioned,35-37 Sidwell Street and land r/o 32-34 Sidwell Street (1st and 2nd floors only),,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
