Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-31,-0.771201,50.852481,,7.42,2017-12-31,160,160,160,"http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. Demolition of existing hospital buildings and development of up to 160 new homes including retention and improvement of sports pitch/open space, new pavilion and children's play area; restoration of Martin's Farm house for residential use (included in 160 unit total); access arrangements and ancillary works and demolition of pavilion. http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,owned by a public authority,2017-01-20,reserved matters approval,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Land south of Graylingwell Drive, Chichester, West Sussex",BLR0002,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30974,,,
yes,,2017-12-31,-0.784682,50.825203,,0.68,2017-12-31,21,21,21,Demolition of existing hospice and replacement with 21 no. residential dwellings,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2015-11-11,outline planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",BLR0003,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30975,,,
yes,,2017-12-31,-0.781578,50.75346,,0.14,2017-12-31,10,10,10,https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. Change of use of existing agricultural workers accommodation to 10 no. residential dwellings and associated works. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2017-06-21,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",BLR0004,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30976,,,
yes,,2017-12-31,-0.784978,50.85919,,0.5,2017-12-31,10,10,10,https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. Erection of 10 no. dwellings with the associated car parking and landscaping and retention of Maddoxwood House. Provision of a foot/cycle path. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-08-15,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",BLR0005,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30977,,,
yes,,2017-12-31,-0.508624,51.06946,,1.47,2017-12-31,1,1,1,Residential conversion of part of Brewhurst Mill to dwelling,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2015-10-14,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",BLR0007,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30978,,,
yes,,2017-12-31,-0.716976,50.851421,,0.27,2017-12-31,3,3,3,"Change of use of upper floors from vacant (A4) to 3 no. residential apartments (C3) including installation of external stair, bin and cycle store and car parking spaces",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2017-03-14,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",BLR0008,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30979,,,
,,2017-12-31,-0.788437,50.835889,,0.55,2017-12-31,16,16,16,https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,owned by a public authority,,,,not permissioned,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",BLR0009,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30980,,,
,,2017-12-31,-0.778902,50.840493,,0.2,2017-12-31,6,6,6,,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,,,,not permissioned,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",BLR0010,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30981,,,
,,2017-12-31,-0.777759,50.830949,,0.69,2017-12-31,20,20,20,,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,owned by a public authority,,,,not permissioned,"Land at Police Station, Kingsham Road, Chichester, PO19 8AD",BLR0011,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30982,,,
yes,,2017-12-31,-0.751196,50.838761,,2.15,2017-12-31,130,130,130,"https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. Outline application for the re-development of the site to provide student housing of up to 521 bedrooms with a supporting student hub building, associated amenities, parking and landscaping. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2017-03-01,outline planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Former Portfield Depot and UMA House, Oving, Chichester, West Sussex, PO19 7UW",BLR0012,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30983,,,
,,2017-12-31,-0.713131,50.853834,,1.21,2017-12-31,36,36,36,,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,owned by a public authority,,,,not permissioned,"Tangmere Academy, Bishops Road, Tangmere, West Sussex, PO20 2JB",BLR0013,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30984,,,
,,2017-12-31,-0.811002,50.835933,,0.33,2017-12-31,6,6,6,"http://www.chichester.gov.uk/CHttpHandler.ashx?id=30381&p=0. Replacement building providing six, two bedroom apartments, parking and associated works.. http://www.chichester.gov.uk/CHttpHandler.ashx?id=30381&p=0",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-05-31,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"98 Fishbourne Road, Fishbourne, West Sussex, PO19 3JL",BLR0014,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30985,,,
,,2017-12-31,-0.498607,51.021256,,0.6,2017-12-31,11,11,11,https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,,,,not permissioned,"Clark's Yard, Billingshurst Road, Wisborough Green",BLR0015,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30986,,,
yes,,2018-12-31,-0.883735,50.846318,,0.16,2018-12-31,8,8,8,"http://www.chichester.gov.uk/CHttpHandler.ashx?id=30379&p=0. Change of use of existing vacant building to 8 no. apartments (5 no. 2 bed, 3 no. 1 bed) on ground, first and second floor, with flexible A2/B1a/D1 (health/medical) use on one half of the ground floor, including elevational alterations, parking and landscaping. http://www.chichester.gov.uk/CHttpHandler.ashx?id=30379&p=0",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2017-12-01,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Jutland House, Kiln Drive (Lion Park), Hambrook, PO18 8FJ",BLR0016,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30987,,,
yes,,2018-12-31,-0.880723,50.841604,,0.75,2018-12-31,10,10,10,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30380&p=0. Reuse of previously developed land for residential development of 10 no. dwellings and associated works. http://www.chichester.gov.uk/CHttpHandler.ashx?id=30380&p=0,Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-04-18,outline planning permission,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OIJAOZERLME00&activeTab=summary,permissioned,"Greenacre Nursery, Main Road, Chidham, PO18 8TP",BLR0017,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30988,,,
yes,,2018-12-31,-0.871744,50.768648,,0.24,2018-12-31,10,10,10,"Retention of the former Royal Oak public house and demolition of dog grooming business. Provision of 8 no. ancillary accommodation units at ground, first and second floors of public house, together with proposed internal and external alterations and associated parking and landscaping. Erection of a terrace of 9 no. dwelling units (consisting of 1 no. 3 bedroom house, 1 no. 4 bedroom house, 2 no. 1 bedroom flats, 4 no. 2 bedroom flats and 1 no. 3 bedroom flat) and the erection of 1 no. 3 bedroom chalet bungalow together with associated parking and landscaping at Stocks Lane, East Wittering",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-07-23,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"Royal Oak, Stocks Lane, East Wittering, West Sussex, PO20 8BS",BLR0018,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30989,,,
yes,,2018-12-31,-0.804074,50.835304,,0.62,2018-12-31,37,37,37,"The comprehensive redevelopment of the former Downland House HQ office site at 49-51 Fishbourne Road East, Chichester for 37 new affordable homes comprising 30 shared ownership apartments, 5 affordable rent houses and 2 affordable rent apartments; car and cycle parking; vehicle and pedestrian access off Fishbourne Road East; landscaping; boundary treatment; amenity space and other ancillary development requirements.",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-12-05,full planning permission,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OPBR5TERFWN00&activeTab=summary,permissioned,49-51 Fishbourne Road East,BLR0019,http://www.chichester.gov.uk/CHttpHandler.ashx?id=31066,,,
yes,,2018-12-31,-0.85502,50.767676,,2.1,2018-12-31,85,85,85,"http://www.chichester.gov.uk/CHttpHandler.ashx?id=30380&p=0. Redevelopment of the former South Downs Holiday Park with the erection of 85 dwellings with vehicular access, Local Equipped Area for Play, public open space, landscaping, foothpath links and other related infrastructure.. http://www.chichester.gov.uk/CHttpHandler.ashx?id=30380&p=0",Chichester District Council,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,,outline planning permission,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,"South Downs Holiday Village, Bracklesham Lane, Bracklesham Bay, Chichester, West Sussex, PO20 8JE",BLR0020,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30991,,,
