Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-10-31,,,,1.6,2018-10-31,44,44,44,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Former Depot buildings have been demolished already. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPQ11YLIL7F00,not permissioned,"County Council depot, off Stretton road, Clay Cross",CX/501,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3392-cx-501/file,,,
yes,,2017-10-31,,,,36.46,2018-10-31,825,825,825,"http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Outline application for a mixed-use development, comprising: residential use (C3), employment-generating uses with employment (B1, B2, B8), local centre (A1, A2, A3, A4 and/or A5), hotel (C1) and/or care home (C2); and public open space, landscaping, highway works and associated infrastructure. (17/00666/OL). http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file",North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2018-08-10,outline planning permission,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORJ55FLIK7700,permissioned,"Former Biwaters site, land off Derby Road, Clay Cross",CX/1607,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3393-cx-1607/file,,,
yes,,2017-10-31,,,,0.97,2018-10-31,22,22,22,"http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Planning permission for demolition of the existing buildings and the erection of 28 dwellings, s106 completed (13/00176/OL). http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file",North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2015-04-20,outline planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MIXUAHLI2Z000,permissioned,"Bradley Lomas Electrolok Ltd, Church Street, Eckington",ECK/2410,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3396-eck-2410/file,,,
yes,,2017-10-31,,,,0.78,2018-10-31,22,22,22,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Planning permission for proposed demolition of warehousing and erection of 22 dwellings (17/00509/FL) is currently pending.. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OPDTQ7LIJSS00,pending decision,"65 / 67 Mansfield Road, Highmoor, Killamarsh",KIL/1603,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3397-kil-1603/file,,,
,,2017-10-31,,,,0.2,2018-10-31,6,6,6,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,,not permissioned,"Garages to the rear of 34 - 46 Emmett Carr Lane, Renishaw",ECK/1503,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3395-eck-1503/file,,,
yes,,2017-10-31,,,,30.97,2018-10-31,489,489,489,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. The reserved matters approval is the first phase of re-development for 252 dwellings (16/00526/RM).. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,2017-09-19,reserved matters approval,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O75NHFLIGL200,permissioned,"Former Avenue Coking Works site, Derby Road, Wingerworth",WW/1610 (2),https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3404-ww-1610-2/file,,,
,,2017-10-31,,,,14.64,2018-10-31,304,304,304,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. 660 dwelling scheme for the whole re-development area with associated ancillary uses (14/00145/OL ).. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2016-10-31,outline planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N0ZIXZLI03L00,permissioned,"Land at Former Coalite Works, Buttermilk Lane, Bolsover",ScD/2103,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3403-scd-2103/file,,,
,,2017-10-31,,,,0.21,2018-10-31,7,7,7,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. This is a garage site for the re-development of 7 houses.. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,,not permissioned,"Garages at Castle Hill, Eckington",ECK/602,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3394-eck-602/file,,,
yes,,2017-10-31,,,,1.13,2018-10-31,25,25,25,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Application to revise site layout plan purusant of 16/00257/FL for the erection of 25 dwellings; s106 completed (17/01354/FL).. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2018-08-03,full planning permission,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1929MLILXV00,permissioned,"Land to the rear of 181 Chesterfield Road, Holmewood",NW/1702,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3400-nw-1702/file,,,
yes,,2017-10-31,,,,0.43,2018-10-31,14,14,14,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file. Site with full planning permission for 14 detached two storey dwellings; s106 completed (07/00865/FL).. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2008-03-27,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JLSJYZLI43000,permissioned,"The Old Station, Station Road, Killamarsh",KIL/2501,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3398-kil-2501/file,,,
