Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
yes,,2017-12-22,-4.182629,50.659297,,1.51,2018-12-19,,,,2844/15/FUL,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,,full planning permission,,permissioned,"Jethro's Motel, Lewdown, EX20 4DS",WD_32_11_13,https://www.westdevon.gov.uk/article/4292/Brownfield-Land-Register,,
yes,,2017-12-22,-3.906781,50.798621,,1.55,2018-12-19,,,,"01990/2011. B1 office space, plus associated works including flood alleviation and access",West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,,full planning permission,,permissioned,"H10 Woollen Mill, North Tawton",WD_13_12_13,https://www.westdevon.gov.uk/article/4292/Brownfield-Land-Register,,
yes,,2017-12-22,-4.022415,50.765222,,0.21,2018-12-19,,,,00682/2014,West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,,full planning permission,,permissioned,"Folly Gate Garage, Folly Gate, Okehampton, Devon, EX20 3AH",00682/2014,https://www.westdevon.gov.uk/article/4292/Brownfield-Land-Register,,
yes,,2017-12-22,-4.074911,50.821203,,4.93,2018-12-19,,,,"00760/2013. retail (Use Classes A1, A2 and/or A3), employment floorspace (Use Classes B1, B2 and/or B8), together with new Public Realm including Market Square with associated Pavilion, Play Space, Hard and Soft Landscaping, Community Allotments, Means of Access, Public and Private Car Parking, and associated Infrastructure.",West Devon Borough Council,http://opendatacommunities.org/id/district-council/west-devon,not owned by a public authority,,outline planning permission,,permissioned,Hatherleigh Market,OP13,https://www.westdevon.gov.uk/article/4292/Brownfield-Land-Register,,
