Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2020-01-04,-1.84,50.91,,3.31,2020-01-04,89,89,89,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,2015-03-24,reserved matters approval,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,,Alderholt Surplus Stores,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/ALDE/017
,,2020-01-04,-2.76,50.72,,0.59,2020-01-04,24,24,24,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,Flood Lane,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/BRID/001
,,2020-01-04,-2.02,50.77,,0.27,2020-01-04,14,14,14,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,Dorset Soldier PH,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/CMUL/020
,,2020-01-04,-2.45,50.71,,1.5,2020-01-04,50,50,50,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,owned by a public authority,2018-01-10,full planning permission,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,,Damers School Site,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/DORC/004
yes,,2020-01-04,-1.91,50.79,,0.17,2020-01-04,8,8,8,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,2019-10-15,full planning permission,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,,Peveril House 382 - 388,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/FERN/001
,,2020-01-04,-1.91,50.79,,0.35,2020-01-04,7,7,7,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,The Post Office and 124 Ringwood Road,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/FERN/030
,,2020-01-04,-2.93,50.74,,4.23,2020-01-04,72,72,72,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,Timber Vale Caravan Park,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/LYME/004
yes,,2020-01-04,-2.28,51.04,,0.64,2020-01-04,16,16,16,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,Adult Learning Centre and St Martins Residential Home,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/GILL/015
yes,,2020-01-04,-2.28,51.04,,0.04,2020-01-04,8,8,8,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,2018-09-24,full planning permission,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,,"Churchbury House, Queen Street",https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/GILL/016
yes,,2020-01-04,-2.44,50.56,,0.31,2020-01-04,10,10,10,,Dorset Council,http://opendatacommunities.org/id/unitary-authority/dorset,not owned by a public authority,,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,"Hambro Car Park, Fortuneswell",https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,LA/PORT/004
