Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-08-10,1.02623,52.511745,,2.62,2017-11-20,60,60,78,The site is included within a wider planning approval for 165 dwellings.,Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2017-01-20,outline planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2015/0546/O&from=planningSearch,permissioned,,"Land south of Whitehouse Lane, Attleborough",https://www.breckland.gov.uk/media/6177/BLR-01/pdf/BLR_01.pdf,BLR_01
yes,,2017-08-10,0.946188,52.690288,,3.28,2017-11-20,114,98,114,,Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,,,,not permissioned,,"Land at Dereham hospital, Dereham",https://www.breckland.gov.uk/media/6178/BLR-02/pdf/BLR_02.pdf,BLR_02
yes,,2017-08-10,0.773996,52.65628,yes,0.85,2017-11-20,31,31,31,"Construction of 31 dwellings on land formerly occupied by Necton Diner and Garage. The proposed layout provides for a single new access on Tuns Road, closing existing accesses off the A47. Foul drainage is proposed to be discharged to the existing mains sewer in the adjacent highway and surface water from the proposed roads would be self draining whilst the houses would be served by soakaways. The applicant proposed that the development will achieve Code Level 4 in terms of energy efficiency. An indicative layout and house type has been provided although appearance, landscaping and layout are reserved matters.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_0983_O%5C3PL_2013_0983_O-CL.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2015-02-09,outline planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2013/0983/O&from=planningSearch,permissioned,,"The Necton Diner, Necton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_0983_O%5C3PL_2013_0983_O-AM_1_1.pdf&module=pl,BLR_03
yes,,2017-08-10,0.780292,52.652257,yes,0.34,2018-02-20,4,4,4,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0002/PIP&from=planningSearch. Construct four four bedroom detached dwellings and garaging following the demolition of existing school buildings. It is proposed to retain an existing indoor swimming pool for the use of the middle school.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1362_O%5C3PL_2014_1362_O-CL.pdf&module=pl,Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2015-03-20,outline planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1362/O&from=planningSearch,permissioned,,"Former V A Infant School, Necton",https://www.breckland.gov.uk/media/6179/BLR-04/pdf/BLR_04.pdf,BLR_04
yes,,2017-08-10,0.896217,52.630081,yes,0.44,2017-11-20,9,9,9,"Demolition of the existing former Public House, central garage and retail units and provision of 9 residential units, a convenience store, a fish and chip shop, office accommodation, a dog grooming parlour and a vehicle repair workshop.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1362_O%5C3PL_2014_1362_O-CL.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_1.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_2.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_3.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2017-03-31,full planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0655/F&from=planningSearch,permissioned,,"D D Dodd and Sons, Chapel Street, Shipdham",https://www.breckland.gov.uk/media/6180/BLR-05/pdf/BLR_05.pdf,BLR_05
yes,,2017-08-10,0.980077,52.53414,yes,1.61,2017-11-20,75,75,75,Erection of up to 75 dwellings on a site area of 3.15ha. Removal of existing salvage year and access from Attleborough Road.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0648_O%5C3PL_2016_0648_O-CL.pdf&module=pl,Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2016-05-24,outline planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0648/O&from=planningSearch,permissioned,,"Mellor Metals, Attleborough Road, Great Ellingham",https://www.breckland.gov.uk/media/6181/BLR-06/pdf/BLR_06.pdf,BLR_06
yes,,2017-08-10,0.838471,52.568359,yes,0.65,2017-11-20,31,31,31,"31 dwellings, open space and associated works, comprising 13 houses and 18 flats. The site contained buildings previously used for manufacturing, which ceased some time ago and the site has stood vacant.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0370_D%5C3PL_2017_0370_D-CLC.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2017-06-15,reserved matters approval,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2012/0503/O&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0370/D&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1314/O&from=planningSearch,permissioned,,"Plaswood Products Ltd Griston Road, Watton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0370_D%5C6226+S01.pdf&module=pl,BLR_07
yes,,2017-08-10,0.971203,52.469954,yes,0.26,2017-11-20,6,6,6,"Erection of 6 detached dwellings with associated garages on land to the east of Station Road, Quidenham. The proposal involves the demolition of existing industrial buildings at Station Farm and would utilise an existing access from Station Road.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL_1.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL_2.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2017-07-06,full planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0106/F&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2009/0785/F&from=planningSearch,permissioned,,"Development Site, Station Road, Eccles",https://www.breckland.gov.uk/media/6182/BLR-08/pdf/BLR_08.pdf,BLR_08
yes,,2017-08-10,0.683627,52.524589,yes,0.96,2017-11-20,8,8,8,"Eight detached contemporary homes comprising 3, 4 and 5 bed detached houses each with a double garage. The site comprises a rectangular parcel of previously developed land that is formed of hardstanding and contains a number of industrial, storage and office buildings.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part1.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part2.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part3.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2015-09-17,full planning permission,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/0244/F&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2015/0001/F&from=planningSearch,permissioned,,"The Old Rectory, Ashburton Road, Ickburgh",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5C3PL_2015_0001_F-LP.pdf&module=pl,BLR_09
yes,,2017-08-10,0.776026,52.656808,yes,0.4,2017-11-20,9,9,9,"Erection of nine dwellings on land at Necton Garden Centre, which includes the demolition of the existing garden cetre building and associated buildings.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0422_D%5CNecton+Garden+Centre+Stage+II+%26+QRA+report+.pdf&module=pl",Breckland District Council,http://opendatacommunities.org/id/district-council/breckland,not owned by a public authority,2016-06-30,reserved matters approval,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0422/D&from=planningSearch,permissioned,,"Necton Garden Centre, Necton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0422_D%5CSite+Layout+%281%29%281%29.pdf&module=pl,BLR_10
