Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-30,-0.0128,51.47114,,6.05,2017-11-30,645,645,645,"14/087333 (currently at phase 4) for mixed use development including 2-6 phases with a total of 1,225 residential units minus 565 existing units, with phase 4 (236 units) still to be logged as completed and phases 5 (284 units) and 6 (159 units) still to be approved",London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,mixed ownership,2014-12-08,reserved matters approval,,permissioned,Heathside and Lethbridge Estate,BK001,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,0.000695,51.46352,,0.35,2017-11-30,30,30,30,"16/095488 for mixed use development including 9 x one bedroom, 8 x two bedroom, 3 x three bedroom self-contained flats and 10 x four bedroom townhouses",London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2016-10-20,full planning permission,,permissioned,"BMW site, Lee Terrace",BK002,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,-0.01082,51.4655,,0.07,2017-11-30,28,28,28,15/091914 for mixed use development including 28 flats,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2016-03-16,full planning permission,,permissioned,"Former petrol station, 167 Lewisham Road",BK003,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,0.003763,51.45975,,0.91,2017-11-30,25,25,25,"14/089902 for residential development including 6 x 1 bedroom and 14 x 2 bedroom flats, 3 x 3 bedroom and 2 x 4 bedroom flats",London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,owned by a public authority,2015-03-04,full planning permission,,permissioned,"23 Boone Street, Dacre Park Estate",BK004,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,-0.0096,51.46289,,0.17,2018-10-22,56,56,56,"15/094039, 15/094870 and 17/100726 Prior Approval for residential development including two additional floors at roof level with 56 residential units",London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2017-04-16,full planning permission,,permissioned,"Tower House, 65-71 Lewisham High Street",BK005,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,0.008078,51.4654,,0.06,2017-11-30,16,16,16,10/76229 for residential development including 10 x one bedroom self-contained flats and 4 x two bedroom and 2 x three bedroom self-contained maisonettes,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2013-12-17,full planning permission,,permissioned,"Independents Day Centre, Independents Road",BK006,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,-0.0092,51.46277,,0.02,2017-11-30,12,12,12,16/099036 Prior Approval for residential development including 12 studio flats,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2016-12-21,full planning permission,,permissioned,1 Myron Place,BK007,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,-0.00218,51.46321,,0.26,2017-11-30,9,9,9,15/094157 for residential development including 9 x four bedroom town houses comprising three pairs of semi-detached houses and one terrace of three houses,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,2016-01-08,full planning permission,,permissioned,"Our Lady of Lourdes School, Belmont Hill",BK008,http://www.lewisham.gov.uk/brownfieldregister,,,
yes,,2017-11-30,0.003934,51.46084,,0.09,2017-11-30,5,5,5,14/89973 for residential development including 5 x two bedroom mews houses,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,owned by a public authority,2015-04-22,full planning permission,,permissioned,Garages at 49-71 Dacre Park,BK009,http://www.lewisham.gov.uk/brownfieldregister,,,
,,2017-11-30,0.001491,51.46022,,0.03,2018-10-22,6,6,6,Lapsed 07/65979 and Lapsed 09/73230 for residential development including 4 x one bedroom and 2 x two bedroom self-contained flats,London Borough of Lewisham,http://opendatacommunities.org/id/london-borough-council/lewisham,not owned by a public authority,,,,not permissioned,17 Brandram Road,BK010,http://www.lewisham.gov.uk/brownfieldregister,,,
