Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-12,0.256845,52.222905,,0.11048,2017-12-12,,9,9,Redevelopment of former police station Construction of 9No. Flats with offstreet parking and new access road off Bell Road,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2017-09-03,full planning permission,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFM1FRGGKPB00,permissioned,,"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",https://www.eastcambs.gov.uk/sites/default/files/BLR0201.jpg,BLR0201
yes,,2017-12-12,0.322746,52.266392,,3.052829,2017-12-12,,70,70,Approval of details for all reserved matters for the housing element ( plots 1-70) of planning application 14/00046/OUM,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2016-02-19,reserved matters approval,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NWOI9ZGGFM100&activeTab=summary,permissioned,,Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,https://www.eastcambs.gov.uk/sites/default/files/BLR0501.jpg,BLR0501
yes,2019-12-12,2017-12-12,0.462439,52.21174,,0.512696,2017-12-12,,8,8,Reserved matters application for erection of eight detached dwellings,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2017-12-06,reserved matters approval,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OXEMKQGGI2S00,permissioned,,"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",https://www.eastcambs.gov.uk/sites/default/files/BLR0601.jpg,BLR0601
yes,2019-12-12,2017-12-12,0.258723,52.396555,,0.18571,2017-12-12,,11,11,"Residential development for 11 dwellings, with minor alterations to the existing vehicular and pedestrian access.",,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,2016-12-28,reserved matters approval,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NXYI08GGGGP00&activeTab=summary,permissioned,,Land At Barton Road Car Park Barton Road Ely Cambridgeshire,https://www.eastcambs.gov.uk/sites/default/files/BLR1001.jpg,BLR1001
yes,,2017-12-12,0.266795,52.398304,,0.095662,2017-12-12,,6,6,Refurbishment and partial demolition of existing building to provide five residential townhouses and one residential apartment over retained commercial unit.,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2017-08-08,full planning permission,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPQMUYGGK4S00,permissioned,,"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",https://www.eastcambs.gov.uk/sites/default/files/BLR1002.jpg,BLR1002
yes,,2017-12-12,0.263666,52.400841,,0.604838,2017-12-12,,10,10,"The site is allocated by the Local Plan for mixed-use development. Allocated for a retail-led scheme (4,200sqm max), with retail and/or office as complimentary uses.",,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,,,,not permissioned,,"The Grange, Nutholt Lane, Ely CB7 4EE",https://www.eastcambs.gov.uk/sites/default/files/BLR1003.jpg,BLR1003
yes,,2019-11-12,0.264065,52.401569,,,2019-11-12,,30,30,Land allocated in adopted 2015 Local Plan,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,,,,not permissioned,,"Police/ Abulance Station, Nutholt Lane, Ely, CB7 4PL",https://www.eastcambs.gov.uk/sites/default/files/BLR1035%20-%20Police%20%26%20Ambulance%20Station%2C%20Nutholt%20Lane.pdf,BLR1035
yes,,2017-12-12,0.266758,52.401932,,1.036523,2017-12-12,,50,50,"The site is allocated by the Local Plan for mixed-use development. Allocated as a residential-led scheme with potential for other uses, such as offices, leisure and small-scale retail.",,http://opendatacommunities.org/id/district-council/east-cambridgeshire,owned by a public authority,,,,not permissioned,,"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",https://www.eastcambs.gov.uk/sites/default/files/BLR1004.jpg,BLR1004
yes,,2019-11-12,0.267654,52.40062,,,2019-11-12,,20,20,Land allocated in adopted 2015 Local Plan,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,,,,not permissioned,,"Waitrose Car Park area, Brays Lane, Ely, CB7 4QJ",https://www.eastcambs.gov.uk/sites/default/files/BLR1034%20-%20Waitrose%20Car%20Park%2C%20Ely.pdf,BLR1034
yes,,2019-11-12,0.268003,52.39784,,0.1454,2019-11-12,,20,20,,,http://opendatacommunities.org/id/district-council/east-cambridgeshire,not owned by a public authority,2018-05-31,full planning permission,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P72ILDGG0CS00,permissioned,,Alexander House 38 Forehill Ely Cambridgeshire,https://www.eastcambs.gov.uk/sites/default/files/BLR1036%20-%20%2038%20Forehill%2C%20Ely.pdf,BLR1036
