Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2027-12-15,-0.240301,51.53246,,1.6,2018-07-05,700,700,700,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,owned by a public authority,,,,not permissioned,Land east of Willesden Junction Station,DCS1,https://data.london.gov.uk/,,,
yes,,2027-12-15,-0.237725,51.531963,,0.1,2018-07-05,85,85,85,"20-storey building, 85 C3 homes of which 28 affordable",Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6062&Ver=4,pending decision,2 Scrubs Lane,DCS2,https://data.london.gov.uk/,,,
,,2027-12-15,-0.239694,51.527272,,9.7,2018-07-05,5600,5600,5600,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,,not permissioned,Car Giant,DCS5,https://data.london.gov.uk/,,,
,,2027-12-15,-0.241983,51.529977,,1.8,2018-07-05,1200,1200,1200,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,owned by a public authority,,,,not permissioned,EMR,DCS6,https://data.london.gov.uk/,,,
,,2027-12-15,-0.23737,51.529215,,1.1,2018-07-05,250,250,250,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,,not permissioned,Cumberland Business Park,DCS7,https://data.london.gov.uk/,,,
yes,,2027-12-15,-0.235402,51.527993,,0.2,2018-07-05,47,47,47,"4-storey and 11-storey buildings, 47 C3 homes of which 15 affordable",Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6044&Ver=4,pending decision,North Kensington Gate North,DCS8,https://data.london.gov.uk/,,,
yes,,2027-12-15,-0.235433,51.527194,,0.5,2018-07-05,200,200,200,"19-storey building, 200 C3 homes of which 67 affordable",Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6060&Ver=4,pending decision,Mitre Yard,DCS9,https://data.london.gov.uk/,,,
yes,,2027-12-15,-0.234356,51.526645,,0.1,2018-07-05,164,164,164,"6 to 20-storey buildings, 164 C3 homes of which 44 affordable",Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6045&Ver=4,pending decision,North Kensington Gate South,DCS10,https://data.london.gov.uk/,,,
,,2027-12-15,-0.234097,51.526241,,0.1,2018-07-05,80,80,80,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,not owned by a public authority,,,,not permissioned,Mitre Wharf,DCS11,https://data.london.gov.uk/,,,
,,2027-12-15,-0.239968,51.531449,,0.2,2018-07-05,50,50,50,,Old Oak & Park Royal Development Corporation,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,owned by a public authority,,,,not permissioned,Willesden Junction Depot,DCS12,https://data.london.gov.uk/,,,
