point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0384,"''Victoria House, Victoria Road, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.01,not owned by a public authority,,permissioned,other,2015-09-01,,7,7,7,yes,"Prior Notification under Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of use from storage or distribution buildings (Use Class B8) to seven residential units (Use Class C3)",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0386,"''66 and 68 Penn Road, Knotty Green ''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.31,not owned by a public authority,,permissioned,outline planning permission,2016-07-26,,6,6,6,yes,"Demolition of existing dwellings and erection of a detached residential building comprising eight flats, basement parking, hardstanding, bin store and entrance gate",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0387,"''Rear of 64 Whielden Street and 1-3 Alpha Court, Old Amersham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.23,not owned by a public authority,,permissioned,full planning permission,2016-10-03,,6,6,6,yes,"Redevelopment of site to facilitate erection of eight dwellings, creation of new vehicular access with associated hardstanding and landscaping",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0390,"''The Old Exchange, 23 New Pond Road, Holmer Green''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.1,not owned by a public authority,,permissioned,full planning permission,2016-06-06,,5,5,5,yes,"Change of use from Office building Use Class B1(a) to residential Use Class C3, to create four two-bed flats and one single-bed flat, fenestration alterations, extension of porch to provide canopied walkway, hard and soft landscaping",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0391,"''Churchfield House, Churchfield Road, Chalfont St Peter''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.04,not owned by a public authority,,permissioned,other,2015-11-30,,6,6,6,yes,"Prior Notification Under i) Class O and ii) Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from i) part office (Use Class B1(a)) and from ii) part storage and distribution (use class B8) to a total of six residential units (Use Class C3)",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0419,"''Hillcroft, 72 Penn Road, Knotty Green ''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.3,not owned by a public authority,,permissioned,full planning permission,2016-08-19,,6,6,6,yes,"Redevelopment of site to provide one building comprising eight apartments, with basement parking, bin store and entrance gates, served by new vehicular access to Penn Road",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0420,"''7 Station Road, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.03,not owned by a public authority,,permissioned,full planning permission,2016-07-28,,6,6,6,yes,"Demolition of existing building and erection of new three storey building to provide six flats, associated car parking, bin store and security gates",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0422,"''132 High Street, Chesham, ''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.01,not owned by a public authority,,permissioned,full planning permission,2016-07-13,,5,5,5,yes,Change of use of building from Offices (Use Class B1a) to create five residential units (Use Class C3) and alterations to rear,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0425,"''Apex House, 31 Chiltern Avenue, Amersham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.06,not owned by a public authority,,permissioned,other,2016-07-01,,5,5,5,yes,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from office (Use Class B1(a)) to five residential units (Use Class C3)",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0426,"''77 Woodside Road, Amersham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.17,not owned by a public authority,,permissioned,other,2016-12-01,,24,24,24,yes,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from Office (Use Class B1(a)) to twenty four residential units (Use Class C3)",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0427,"''The Rose and Crown Public House, 264 Waterside, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.05,not owned by a public authority,,permissioned,full planning permission,2015-11-04,,6,6,6,yes,"Part two storey, part first floor side extensions and alterations to facilitate the change of use of site from a public house to create six residential units, laying of hardstanding and the creation of a new vehicular access",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0429,"''135 Hivings Hill, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.25,not owned by a public authority,,pending decision,,,,7,7,9,yes,"Redevelopment of site to provide 8 residential units within two buildings, altered vehicular access, car parking, bin and cycle stores and associated landscaping",2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0438,"''Car Park North of Chesham Station, Station Road''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.38,not owned by a public authority,,not permissioned,,,,13,13,25,,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0439,"''Chalfont and Latimer Station Car Park, Bedford Avenue''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,2.34,not owned by a public authority,,not permissioned,,,,40,40,80,,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0440,"''William Moulder Court, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.55,not owned by a public authority,,not permissioned,,,,6,6,15,yes,Any future development proposals should address any potential implications on residential parking and highways,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0444,"''Land West of Mount Nugent, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.3,not owned by a public authority,,not permissioned,,,,6,6,9,yes,Any future development proposals should address any potential implications on residential parking and highways,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0445,"''Land off Shelley Road, Chesham''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.22,not owned by a public authority,,not permissioned,,,,7,7,12,yes,Any future development proposals should address any potential implications on residential parking and highways,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0448,"''Land on the frontage of Great Missenden Railway Station, ''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.53,not owned by a public authority,,not permissioned,,,,10,10,20,yes,Development proposals of the site should retain and enhance interchange facilities and the station forecourt. Possible access from the site could be provided to other nearby development opportunities.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0455,"''Land at Ballinger Road, Ballinger Road''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.9,not owned by a public authority,,not permissioned,,,,5,5,6,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0459,"''Woodlands Farm, The Vale''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,1.86,not owned by a public authority,,not permissioned,,,,10,10,20,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2017-12-08,
,http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0460,"''Tunfield Farm, Hog Lane''",,,http://www.chiltern.gov.uk/planning/brownfieldregister,0.83,not owned by a public authority,,not permissioned,,,,6,6,8,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2017-12-08,
