Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-10-18,-0.201117,53.61819,,0.8,2017-10-18,32,32,32,'Developer/Owner of the site is currently pursuing the discharge of conditions for the sites planning consent. This application was validated on 2015-02-02 and is pending consideration.''. Erect 31 houses and 1 apartment,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2010-08-06,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVJLJXB209,permissioned,"Tower Place, Waterworks Street, Immingham",BS0001,,,,
,,2017-10-18,-0.061584,53.572859,,0.27,2017-10-18,30,24,30,'The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 but has since expired. An existing car wash forms part of the site.'',North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV5LJXB137,not permissioned,"71-85 Hamilton Street, Grimsby",BS0002,,,,
,,2017-10-18,-0.03771,53.56648,,3.76,2017-10-18,110,110,110,,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,,not permissioned,"Chapman's pond, Hawthorne Avenue, Cleethorpes",BS0003,,,,
yes,,2017-10-18,-0.03728,53.56543,,0.54,2017-10-18,14,14,14,S106 approved. Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors),North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2015-12-24,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVRLJXB013,permissioned,"Land off Pelham Road, Cleethorpes",BS0004,,,,
,,2017-10-18,-0.03516,53.56542,,3.96,2017-10-18,118,118,118,"The site is within close proximity to the Humber estuary and close to a designated site of local nature conservation importance, and development may have an ecological impact which will need to be assessed.''",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,owned by a public authority,,other,,not permissioned,"Land off Pelham Road, Cleethorpes",BS0005,,,,
,,2017-10-18,-0.09154,53.56426,,0.18,2017-10-18,14,14,14,The site is currently in temporary alternative use as a car park granted permission on 2016-12-21',North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFLDHMLJM1000,not permissioned,"Land west of Cartergate, Grimsby",BS0006,,,,
yes,,2017-10-18,-0.030088,53.561917,,0.21,2017-10-18,80,35,80,"Outline for LDO, erection of buildings and / or use of Land primarily for Class C3 with ancillary A1, A3, D2 and C1 use",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2016-03-09,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY47VLJ00700,permissioned,"Former Clifton Bingo, Grant Street, Grimsby",BS0007,,,,
yes,,2017-10-18,-0.06855,53.56081,,4.16,2017-10-18,176,176,260,"This site benefits from outline planning permission and reserved matters have been approved for part of the site (DC/630/12/HEN). For plots 11-23 13 dwellings in lieu of 14.. Redevelopment into a residential development for 177 mixed dwellings, amended",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2013-02-18,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVKLJXB482,permissioned,"Former Birds-eye factory site, Ladysmith Road, Grimsby",BS0008,,,,
,,2017-10-18,-0.08965,53.55974,,0.58,2017-10-18,13,13,22,"Planning permission has previously been granted on the site for the alteration of Claremont House to form 13 flats, including the part demolition of the building. This consent has since expired. Currently there is application pending. Change of use of Former carehome to 2 semi-detached dwellings and erect 20 new dwellings (18 four bed and 2 three bed)",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWH9KQLJK4B00,pending decision,"Claremont House, 7 Welholme Avenue, Grimsby",BS0009,,,,
yes,,2017-10-18,-0.110803,53.553458,,0.43,2017-10-18,32,32,34,"Removal of existing buildings, erection of 1.5 and 2.5 storey buildings to provide maximum of 32 over 55s affordable accommodation",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2016-09-28,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJI410LJJSK00,permissioned,"The Cedars offices, Eastern Inway, Grimsby",BS0010,,,,
,,2017-10-18,-0.0729,53.56206,,3.22,2017-10-18,113,113,113,"'The site incorporates a grade II listed building, is in Flood Zone 3 and carries a potential for contamination due to its historical use as a mill. However the development of the site gives an opportunity to bring a listed building back into use.''",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,,not permissioned,"Cordage Mill, Convamore Road, Grimsby",BS0011,,,,
yes,,2017-10-18,-0.121135,53.556057,,10.38,2017-10-18,400,400,400,"'To be interpreted as brownfield, the football fields should be omitted from the site area. Therefore the total site area with the potential for permission in principle is 3.96ha''. 'Outline permission for LDO, erection of buildings and / or use of Land for Class A1, A2, A3, B1, C3 and D1 uses.''",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,owned by a public authority,2016-03-09,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY4BRLJ00700,permissioned,"Former Western School site, Cambridge Road, Grimsby",BS0012,,,,
yes,,2017-10-18,-0.094392,53.560542,,0.43,2017-10-18,13,13,13,Erect 10 three bedroom and 3 four bedroom dwellings.,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2016-02-12,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVUY4CLJLSJ00,permissioned,"Land off College Street, Grimsby",BS0013,,,,
,,2017-10-18,-0.099545,53.549324,,0.5,2017-10-18,19,19,19,,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,,not permissioned,"Land at north west of Diana Princess of Wales Hospital site, Grimsby",BS0015,,,,
yes,,2017-10-18,-0.088684,53.562555,,0.18,2017-10-18,12,12,12,,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV9LJXB177,not permissioned,"Fletchers Yard, Wellowgate, Grimsby",BS0016,,,,
,,2017-10-18,-0.22463,53.60727,,0.66,2017-10-18,8,8,8,,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,,not permissioned,"Land at Willows Farm, Immingham",BS0017,,,,
yes,,2017-10-18,-0.05799,53.56946,,0.18,2017-10-18,14,14,14,"'planning permission available upon appeal, DC/729/12/SSU.''",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVALJXB335,not permissioned,"Land at 65 Park Street/brereton Avenue, Cleethorpes",BS0018,,,,
yes,,2017-10-18,-0.198563,53.61836,,0.34,2017-10-18,18,18,18,Erect 18 dwellings.,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2010-10-06,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVLLJXB895,permissioned,"Land at Trenchard close, Immingham",BS0020,,,,
yes,,2017-10-18,-0.09258,53.564568,,0.08,2017-10-18,11,11,11,Change of use into eleven residential units,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2013-04-05,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVHLJXB627,permissioned,"29-31 Chantry Lane, Grimsby",BS0021,,,,
yes,,2017-10-18,-0.041707,53.566515,,0.27,2017-10-18,21,21,21,"'Approved conditions and signing of S106.''. Erection of 15 four bedroom, 4 three bedroom and 2 two bedroom dwellings",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2016-02-10,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJPTBTLJJZ400,permissioned,"Former leaking boot public house, Grimsby Road and Suggitts Lane, Cleethorpes",BS0022,,,,
yes,,2017-10-18,-0.10274,53.54324,,0.2,2017-10-18,8,8,8,Erect 4 pairs of semi-detached dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2016-09-28,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBN9JTLJIV500,permissioned,"Land at Utgrad Way, Grimsby",BS0027,,,,
yes,,2017-10-18,-0.02584,53.55578,,0.81,2017-10-18,8,8,8,Erect 6 dwellings and 2 apartments,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2017-01-27,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9XV1ILJ02A00,permissioned,"7 Barkhouse Lane, Cleethorpes",BS0028,,,,
yes,,2017-10-18,-0.18433,53.58639,,0.5805,2017-10-18,14,14,14,"Approved conditions and signing of S106. Erect 4 detached bungalows, 2 pairs of semi-detached bungalows and 2 pairs of link semi-detached houses",North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2017-04-06,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBQW5FLJIYO00,permissioned,"Land at Station Road, Stallingborough",BS0030,,,,
yes,,2017-10-18,-0.09778,53.55325,,0.15,2017-10-18,,1,4,'Approved conditions and signing of S106''. Erect up to 4 dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2017-05-16,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7MSVNLJFLP00,permissioned,"St James Tennis club, Hereford Avenue, Grimsby",BS0031,,,,
yes,,2017-10-18,-0.12356,53.5718,,0.16,2017-10-18,5,5,5,'DM/1312/14/FUL refused on the grounds of unacceptable loss of parking and excessive quantity of new development on a tightly constrained site. However an appeal has been allowed subject to conditions.''. Erect 5 dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2017-03-12,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NGZ8FILJHT000,permissioned,"garages Service Road 8, Grimsby",BS0032,,,,
yes,,2017-10-18,-0.02761,53.55669,,0.14,2017-10-18,9,1,9,Development of up to 9 two/three storey dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2015-05-22,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ND8MUHLJMJU00,permissioned,"r/o 73 Sea View Street, Cleethorpes",BS0033,,,,
yes,,2017-10-18,-0.06375,53.56632,,0.084,2017-10-18,4,4,4,Erect four terraced houses,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2015-07-17,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NH1NGWLJHVN00,permissioned,"Land adjacent to 103 Roberts Street, Grimsby",BS0034,,,,
yes,,2017-10-18,-0.07799,53.55966,,0.05,2017-10-18,4,4,4,Erect 4 two bedroom self contained dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2015-08-07,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNH19ELJ00K00,permissioned,"279 Willingham Street, Grimsby",BS0035,,,,
yes,,2017-10-18,-0.03243,53.56403,,0.09,2017-10-18,5,5,5,Erect 5 dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2014-11-20,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBSNQZLJ00M00,permissioned,"Land at Norfolk Lane, Cleethorpes",BS0037,,,,
yes,,2017-10-18,-0.10851,53.55214,,0.255,2017-10-18,9,9,9,Erect 9 dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2014-10-07,full planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N70DDWLJ00K00,permissioned,"The Oak Tree, Norwich Avenue, Grimsby",BS0038,,,,
yes,,2017-10-18,-0.09826,53.5136,,0.17,2017-10-18,3,3,3,Erect 3 dwellings,North East Lincolnshire Council,http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,not owned by a public authority,2017-04-28,outline planning permission,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL5W9PLJIQY00,permissioned,"r/o 59 Cheapside, Waltham",BS0039,,,,
